30
48
['481', '436']
['478', '39']
['180', '222']
['269', '931']
['679', '341']
['922', '574']
['717', '720']
['638', '782']
['275', '216']
['19', '793']
['276', '125']
['699', '157']
['724', '932']
['385', '245']
['365', '261']
['910', '606']
['847', '736']
['822', '921']
['592', '838']
['285', '109']
['532', '468']
['641', '87']
['308', '502']
['602', '717']
['0', '69']
['700', '577']
['633', '598']
['388', '353']
['803', '300']
['946', '26']
['647', '932']
['241', '380']
['949', '819']
['757', '30']
['533', '774']
['841', '184']
['933', '406']
['778', '563']
['380', '795']
['399', '354']
['129', '378']
['58', '73']
['791', '183']
['711', '314']
['844', '456']
['624', '867']
['945', '944']
['713', '387']
['477', '421']
['81', '950']
['117', '669']
['612', '939']
['247', '741']
['812', '103']
['334', '312']
['206', '139']
['659', '669']
['210', '769']
['935', '41']
['530', '539']
['764', '228']
['918', '92']
['15', '880']
['171', '117']
['218', '642']
['689', '766']
['178', '835']
['734', '139']
['523', '576']
['790', '821']
['299', '201']
['467', '233']
['652', '800']
['748', '541']
['936', '26']
['801', '217']
['800', '412']
['18', '497']
['370', '150']
['383', '661']
['333', '655']
['643', '493']
['888', '433']
['668', '686']
['120', '535']
['570', '12']
['636', '707']
['618', '62']
['779', '884']
['144', '293']
['654', '218']
['309', '273']
['506', '850']
['832', '706']
['725', '592']
['630', '673']
['228', '256']
['868', '788']
['399', '112']
['922', '362']
['58', '311']
['443', '124']
['383', '324']
['228', '454']
['935', '22']
['526', '667']
['399', '231']
['537', '711']
['234', '707']
['651', '413']
['719', '565']
['129', '897']
['658', '430']
['402', '414']
['516', '440']
['552', '222']
['441', '631']
['49', '501']
['28', '526']
['822', '849']
['57', '307']
['371', '634']
['880', '552']
['952', '672']
['124', '875']
['410', '346']
['679', '344']
['220', '203']
['462', '929']
['848', '642']
['605', '870']
['235', '461']
['745', '309']
['866', '827']
['842', '168']
['372', '747']
['366', '771']
['402', '935']
['714', '148']
['204', '630']
['104', '522']
['6', '454']
['873', '899']
['6', '572']
['792', '36']
['540', '569']
['669', '81']
['719', '519']
['280', '239']
['933', '181']
['233', '812']
['748', '697']
['940', '483']
['467', '337']
['701', '573']
['947', '614']
['379', '85']
['48', '241']
['284', '108']
['924', '381']
['216', '8']
['600', '528']
['89', '714']
['282', '15']
['52', '275']
['446', '932']
['702', '93']
['471', '592']
['772', '302']
['329', '218']
['162', '68']
['196', '739']
['439', '91']
['262', '264']
['683', '99']
['395', '99']
['328', '911']
['138', '629']
['745', '594']
['536', '321']
['323', '929']
['240', '615']
['627', '804']
['772', '266']
['808', '584']
['72', '73']
['372', '829']
['520', '610']
['82', '529']
['827', '803']
['849', '21']
['714', '458']
['34', '182']
['472', '121']
['749', '592']
['676', '558']
['815', '803']
['229', '293']
['136', '876']
['95', '885']
['310', '846']
['690', '536']
['241', '914']
['97', '390']
['730', '39']
['642', '25']
['923', '60']
['244', '481']
['593', '588']
['511', '35']
['709', '675']
['255', '270']
['541', '47']
['736', '588']
['98', '777']
['704', '598']
['166', '893']
['442', '377']
['474', '767']
['705', '158']
['488', '807']
['770', '130']
['89', '517']
['666', '897']
['495', '28']
['120', '582']
['386', '323']
['186', '847']
['213', '661']
['608', '938']
['408', '544']
['543', '456']
['597', '143']
['775', '577']
['486', '61']
['144', '227']
['462', '778']
['498', '299']
['778', '307']
['30', '78']
['375', '736']
['349', '532']
['958', '862']
['700', '546']
['908', '683']
['914', '265']
['266', '703']
['804', '755']
['168', '31']
['333', '343']
['573', '606']
['834', '346']
['593', '697']
['944', '805']
['274', '930']
['305', '886']
['532', '435']
['758', '45']
['164', '507']
['285', '225']
['553', '86']
['204', '521']
['669', '66']
['415', '183']
['70', '255']
['607', '636']
['626', '587']
['149', '293']
['840', '61']
['552', '635']
['403', '720']
['334', '409']
['738', '596']
['483', '29']
['202', '693']
['856', '483']
['306', '450']
['497', '695']
['769', '193']
['125', '294']
['551', '956']
['756', '13']
['446', '687']
['119', '19']
['444', '190']
['510', '246']
['483', '85']
['878', '60']
['726', '846']
['123', '150']
['196', '136']
['57', '721']
['332', '603']
['319', '571']
['838', '663']
['860', '721']
['870', '173']
['752', '909']
['268', '398']
['382', '262']
['823', '620']
['247', '354']
['631', '856']
['66', '868']
['326', '544']
['314', '957']
['16', '287']
['359', '754']
['148', '75']
['624', '949']
['436', '832']
['239', '769']
['728', '570']
['139', '107']
['713', '728']
['106', '708']
['759', '846']
['664', '300']
['238', '759']
['497', '574']
['289', '140']
['833', '341']
['774', '659']
['516', '479']
['616', '129']
['317', '914']
['674', '942']
['397', '690']
['95', '39']
['324', '564']
['454', '946']
['612', '699']
['623', '688']
['767', '268']
['430', '763']
['688', '205']
['488', '513']
['870', '335']
['660', '811']
['419', '292']
['205', '735']
['930', '74']
['639', '751']
['490', '140']
['69', '137']
['912', '947']
['447', '360']
['304', '190']
['406', '117']
['638', '265']
['844', '125']
['798', '495']
['563', '434']
['503', '919']
['703', '40']
['625', '259']
['385', '442']
['306', '887']
['286', '756']
['423', '535']
['933', '493']
['437', '323']
['442', '82']
['322', '455']
['148', '687']
['178', '572']
['880', '682']
['701', '328']
['633', '570']
['31', '327']
['826', '101']
['725', '4']
['650', '894']
['658', '534']
['916', '84']
['455', '703']
['12', '51']
['378', '426']
['678', '702']
['744', '777']
['245', '560']
['450', '536']
['714', '829']
['691', '833']
['268', '480']
['939', '504']
['437', '84']
['343', '97']
['915', '176']
['864', '617']
['289', '177']
['492', '212']
['396', '160']
['82', '42']
['256', '605']
['770', '40']
['950', '943']
['899', '621']
['518', '637']
['461', '401']
['238', '692']
['147', '62']
['856', '725']
['462', '283']
['534', '8']
['939', '22']
['830', '364']
['622', '479']
['552', '621']
['26', '629']
['425', '195']
['200', '388']
['146', '392']
['789', '666']
['348', '922']
['683', '572']
['810', '31']
['849', '419']
['430', '221']
['754', '370']
['235', '745']
['887', '683']
['634', '292']
['84', '643']
['796', '22']
['633', '161']
['576', '557']
['422', '4']
['815', '128']
['75', '847']
['423', '158']
['857', '889']
['272', '50']
['484', '536']
['898', '561']
['673', '504']
['19', '518']
['250', '645']
['597', '828']
['829', '460']
['510', '671']
['283', '136']
['319', '202']
['420', '469']
['126', '799']
['795', '282']
['195', '237']
['909', '707']
['35', '166']
['545', '44']
['115', '690']
['454', '132']
['130', '751']
['321', '669']
['499', '245']
['669', '724']
['699', '263']
['485', '427']
['446', '107']
['936', '442']
['617', '234']
['865', '318']
['127', '360']
['796', '278']
['213', '912']
['96', '16']
['225', '335']
['188', '383']
['483', '582']
['566', '839']
['113', '834']
['849', '82']
['624', '186']
['504', '653']
['154', '469']
['265', '64']
['475', '649']
['333', '663']
['531', '370']
['591', '53']
['293', '81']
['653', '17']
['701', '649']
['714', '198']
['845', '383']
['947', '269']
['120', '840']
['159', '366']
['271', '469']
['736', '297']
['888', '561']
['178', '671']
['338', '686']
['598', '259']
['379', '310']
['147', '951']
['575', '4']
['335', '317']
['264', '519']
['474', '425']
['96', '638']
['904', '547']
['672', '349']
['186', '890']
['496', '723']
['491', '501']
['29', '830']
['426', '164']
['349', '524']
['135', '284']
['124', '945']
['656', '954']
['700', '678']
['9', '526']
['938', '832']
['433', '158']
['12', '132']
['710', '760']
['451', '851']
['937', '471']
['180', '52']
['85', '208']
['394', '750']
['502', '8']
['113', '567']
['416', '430']
['537', '176']
['707', '936']
['603', '668']
['73', '129']
['413', '650']
['571', '866']
['465', '346']
['825', '753']
['311', '4']
['26', '171']
['190', '319']
['801', '90']
['585', '499']
['545', '444']
['625', '832']
['592', '520']
['518', '760']
['806', '780']
['352', '12']
['572', '901']
['460', '740']
['459', '84']
['611', '506']
['949', '592']
['852', '257']
['568', '432']
['290', '659']
['769', '277']
['569', '2']
['760', '51']
['277', '394']
['295', '473']
['647', '830']
['116', '544']
['732', '625']
['207', '838']
['781', '438']
['656', '751']
['483', '534']
['871', '253']
['367', '949']
['321', '702']
['604', '344']
['73', '547']
['157', '253']
['234', '141']
['658', '915']
['557', '215']
['210', '745']
['927', '569']
['895', '887']
['155', '665']
['623', '801']
['228', '199']
['4', '591']
['942', '132']
['959', '477']
['307', '197']
['757', '726']
['868', '408']
['625', '274']
['759', '613']
['749', '828']
['924', '947']
['497', '625']
['529', '148']
['253', '351']
['17', '102']
['264', '145']
['524', '856']
['499', '658']
['94', '935']
['148', '779']
['516', '607']
['87', '30']
['493', '294']
['741', '840']
['330', '407']
['51', '426']
['29', '865']
['935', '128']
['129', '150']
['410', '895']
['46', '464']
['478', '836']
['848', '12']
['70', '633']
['239', '283']
['498', '353']
['119', '527']
['423', '329']
['398', '172']
['658', '422']
['96', '722']
['694', '410']
['710', '316']
['725', '543']
['253', '613']
['190', '494']
['264', '246']
['868', '724']
['626', '436']
['459', '301']
['703', '241']
['933', '156']
['700', '293']
['369', '917']
['116', '907']
['805', '248']
['959', '221']
['956', '891']
['75', '522']
['355', '758']
['250', '427']
['87', '736']
['421', '404']
['948', '260']
['511', '527']
