200
7
['0', '2', '7']
['5', '7', '8']
['8', '10', '15']
['12', '15', '17']
['17', '18', '20']
['21', '22', '24']
['24', '26', '30']
['28', '30', '33']
['33', '35', '38']
['37', '38', '41']
['40', '42', '47']
['45', '46', '48']
['49', '51', '53']
['52', '54', '56']
['56', '58', '62']
['60', '63', '67']
['65', '66', '71']
['68', '71', '72']
['73', '75', '78']
['76', '79', '82']
['81', '82', '86']
['85', '87', '91']
['89', '90', '92']
['93', '95', '99']
['97', '98', '103']
['101', '103', '106']
['104', '107', '110']
['108', '110', '112']
['112', '115', '119']
['117', '118', '123']
['120', '123', '124']
['125', '127', '130']
['128', '130', '135']
['133', '135', '136']
['136', '139', '140']
['141', '142', '147']
['144', '147', '150']
['149', '151', '153']
['153', '154', '156']
['157', '159', '161']
['161', '162', '165']
['164', '166', '171']
['168', '171', '175']
['173', '175', '177']
['177', '179', '182']
['181', '183', '186']
['184', '186', '191']
['189', '191', '194']
['193', '194', '196']
['196', '199', '200']
['200', '203', '204']
['204', '206', '210']
['209', '210', '213']
['213', '214', '218']
['217', '218', '222']
['220', '223', '224']
['225', '226', '229']
['228', '230', '234']
['233', '234', '238']
['236', '239', '241']
['240', '242', '246']
['245', '246', '249']
['248', '251', '253']
['252', '255', '257']
['257', '259', '260']
['260', '262', '265']
['264', '267', '270']
['269', '271', '272']
['273', '274', '277']
['276', '278', '280']
['281', '283', '287']
['284', '286', '291']
['288', '291', '292']
['292', '294', '298']
['297', '299', '303']
['300', '302', '305']
['304', '307', '309']
['309', '310', '315']
['313', '314', '319']
['317', '318', '320']
['321', '323', '327']
['324', '327', '328']
['328', '331', '334']
['332', '334', '339']
['336', '338', '341']
['340', '342', '347']
['345', '347', '349']
['348', '350', '352']
['352', '355', '356']
['357', '359', '361']
['360', '362', '364']
['364', '366', '368']
['368', '370', '374']
['372', '374', '376']
['376', '378', '380']
['381', '382', '386']
['385', '387', '391']
['389', '391', '393']
['392', '394', '396']
['397', '399', '403']
['401', '402', '405']
['405', '406', '409']
['408', '411', '414']
['412', '414', '418']
['416', '419', '423']
['420', '422', '424']
['425', '427', '429']
['428', '430', '434']
['432', '434', '437']
['437', '439', '443']
['441', '443', '444']
['444', '447', '450']
['448', '450', '454']
['452', '454', '459']
['456', '458', '463']
['460', '462', '466']
['465', '467', '469']
['469', '471', '475']
['472', '474', '479']
['476', '479', '482']
['480', '483', '485']
['485', '486', '490']
['488', '490', '493']
['492', '494', '496']
['497', '499', '503']
['501', '502', '506']
['505', '506', '510']
['509', '511', '513']
['513', '515', '517']
['517', '518', '521']
['520', '523', '526']
['525', '527', '528']
['528', '531', '533']
['533', '535', '537']
['536', '539', '543']
['540', '543', '545']
['545', '546', '551']
['548', '550', '552']
['552', '555', '558']
['556', '559', '560']
['560', '563', '567']
['565', '566', '571']
['569', '571', '573']
['572', '575', '579']
['577', '579', '582']
['580', '583', '586']
['585', '586', '588']
['588', '591', '593']
['593', '595', '597']
['596', '599', '603']
['601', '602', '607']
['604', '607', '611']
['609', '611', '615']
['612', '614', '617']
['617', '618', '621']
['621', '622', '625']
['624', '626', '630']
['629', '631', '633']
['632', '634', '639']
['636', '639', '640']
['641', '643', '645']
['644', '646', '651']
['649', '650', '655']
['652', '654', '657']
['656', '658', '662']
['661', '663', '667']
['664', '667', '670']
['668', '670', '675']
['673', '675', '676']
['677', '678', '681']
['681', '683', '686']
['684', '686', '691']
['688', '690', '694']
['693', '695', '699']
['696', '698', '701']
['701', '703', '706']
['704', '706', '709']
['708', '711', '714']
['713', '714', '716']
['716', '719', '723']
['721', '722', '726']
['724', '727', '730']
['728', '731', '732']
['732', '734', '736']
['736', '739', '740']
['741', '742', '746']
['744', '747', '749']
['749', '751', '755']
['753', '754', '759']
['757', '758', '763']
['761', '763', '765']
['765', '767', '770']
['768', '771', '772']
['772', '775', '779']
['776', '779', '782']
['781', '782', '786']
['784', '786', '788']
['789', '791', '792']
['792', '794', '797']
