2
420
['1', '81', '161']
['2', '82', '162']
['3', '83', '163']
['4', '84', '164']
['5', '85', '165']
['6', '86', '166']
['7', '87', '167']
['8', '88', '168']
['9', '89', '169']
['10', '90', '170']
['11', '91', '171']
['12', '92', '172']
['13', '93', '173']
['14', '94', '174']
['15', '95', '175']
['16', '96', '176']
['17', '97', '177']
['18', '98', '178']
['19', '99', '179']
['20', '100', '180']
['21', '101', '181']
['22', '102', '182']
['23', '103', '183']
['24', '104', '184']
['25', '105', '185']
['26', '106', '186']
['27', '107', '187']
['28', '108', '188']
['29', '109', '189']
['30', '110', '190']
['31', '111', '191']
['32', '112', '192']
['33', '113', '193']
['34', '114', '194']
['35', '115', '195']
['36', '116', '196']
['37', '117', '197']
['38', '118', '198']
['39', '119', '199']
['40', '120', '200']
['41', '121', '201']
['42', '122', '202']
['43', '123', '203']
['44', '124', '204']
['45', '125', '205']
['46', '126', '206']
['47', '127', '207']
['48', '128', '208']
['49', '129', '209']
['50', '130', '210']
['51', '131', '211']
['52', '132', '212']
['53', '133', '213']
['54', '134', '214']
['55', '135', '215']
['56', '136', '216']
['57', '137', '217']
['58', '138', '218']
['59', '139', '219']
['60', '140', '220']
['61', '141', '221']
['62', '142', '222']
['63', '143', '223']
['64', '144', '224']
['65', '145', '225']
['66', '146', '226']
['67', '147', '227']
['68', '148', '228']
['69', '149', '229']
['70', '150', '230']
['71', '151', '231']
['72', '152', '232']
['73', '153', '233']
['74', '154', '234']
['75', '155', '235']
['76', '156', '236']
['77', '157', '237']
['78', '158', '238']
['79', '159', '239']
['80', '160', '240']
