40
25
['241', '250']
['343', '577']
['838', '487']
['440', '0']
['571', '372']
['872', '976']
['792', '109']
['464', '251']
['252', '151']
['96', '507']
['333', '259']
['652', '327']
['987', '696']
['52', '247']
['242', '595']
['603', '14']
['244', '837']
['191', '102']
['280', '695']
['279', '242']
['672', '23']
['421', '978']
['883', '587']
['767', '9']
['185', '719']
['727', '731']
['194', '747']
['253', '128']
['289', '608']
['551', '604']
['508', '826']
['219', '767']
['619', '589']
['370', '619']
['953', '360']
['654', '12']
['236', '230']
['603', '379']
['951', '935']
['314', '432']
['989', '797']
['579', '926']
['469', '130']
['447', '807']
['603', '275']
['229', '694']
['301', '784']
['435', '906']
['138', '395']
['865', '146']
['937', '974']
['533', '716']
['888', '230']
['71', '159']
['318', '248']
['143', '911']
['794', '47']
['676', '817']
['490', '972']
['567', '455']
['514', '944']
['181', '189']
['499', '705']
['168', '73']
['556', '285']
['540', '732']
['341', '147']
['349', '634']
['372', '51']
['646', '569']
['103', '962']
['497', '675']
['836', '586']
['170', '19']
['543', '299']
['717', '211']
['679', '466']
['322', '781']
['901', '982']
['632', '280']
['313', '94']
['725', '794']
['179', '547']
['628', '979']
['827', '449']
['997', '364']
['833', '340']
['587', '937']
['648', '938']
['393', '458']
['547', '597']
['467', '401']
['304', '927']
['949', '123']
['745', '405']
['102', '539']
['19', '252']
['62', '722']
['293', '188']
['6', '659']
['912', '870']
['190', '422']
['452', '134']
['70', '647']
['884', '363']
['363', '638']
['677', '429']
['916', '842']
['675', '600']
['113', '141']
['364', '461']
['168', '230']
['332', '540']
['404', '438']
['890', '423']
['759', '764']
['562', '607']
['748', '267']
['244', '517']
['913', '393']
['958', '62']
['499', '969']
['618', '143']
['682', '649']
['93', '570']
['307', '738']
['71', '90']
['674', '118']
['50', '272']
['875', '198']
['583', '602']
['417', '967']
['695', '138']
['858', '517']
['106', '753']
['126', '922']
['645', '385']
['295', '628']
['637', '617']
['387', '709']
['181', '142']
['94', '671']
['542', '445']
['458', '657']
['569', '869']
['128', '309']
['216', '996']
['329', '217']
['907', '41']
['252', '146']
['867', '358']
['566', '285']
['927', '372']
['773', '565']
['389', '430']
['600', '511']
['158', '58']
['915', '145']
['974', '958']
['768', '406']
['397', '5']
['92', '284']
['424', '872']
['865', '209']
['353', '430']
['904', '126']
['672', '963']
['738', '206']
['999', '323']
['341', '226']
['415', '662']
['956', '658']
['258', '239']
['936', '974']
['258', '198']
['501', '883']
['960', '874']
['982', '967']
['40', '680']
['386', '373']
['819', '64']
['346', '391']
['182', '353']
['260', '663']
['250', '388']
['271', '850']
['717', '582']
['323', '183']
['267', '268']
['70', '469']
['912', '153']
['338', '439']
['456', '21']
['233', '404']
['432', '742']
['745', '96']
['988', '789']
['699', '591']
['752', '297']
['474', '339']
['76', '407']
['240', '707']
['482', '752']
['537', '424']
['695', '836']
['781', '785']
['81', '457']
['721', '847']
['31', '709']
['579', '197']
['894', '41']
['602', '311']
['103', '523']
['802', '80']
['706', '477']
['498', '345']
['216', '32']
['26', '334']
['554', '982']
['504', '365']
['202', '716']
['735', '369']
['713', '64']
['375', '217']
['371', '912']
['201', '668']
['814', '831']
['843', '300']
['656', '890']
['987', '631']
['343', '146']
['764', '40']
['996', '445']
['734', '683']
['109', '241']
['193', '862']
['617', '370']
['308', '857']
['244', '677']
['800', '836']
['113', '817']
['780', '204']
['731', '867']
['620', '163']
['272', '512']
['359', '275']
['48', '187']
['595', '17']
['162', '30']
['306', '363']
['432', '667']
['783', '815']
['311', '906']
['172', '581']
['610', '0']
['599', '363']
['727', '35']
['919', '91']
['8', '319']
['232', '168']
['96', '107']
['566', '400']
['28', '636']
['9', '316']
['283', '716']
['374', '703']
['739', '988']
['450', '701']
['322', '226']
['804', '557']
['590', '615']
['607', '603']
['360', '485']
['514', '604']
['823', '572']
['723', '589']
['688', '331']
['11', '636']
['45', '378']
['831', '782']
['246', '142']
['431', '873']
['814', '112']
['563', '248']
['391', '650']
['51', '366']
['423', '528']
['113', '248']
['305', '769']
['174', '670']
['374', '982']
['653', '631']
['781', '734']
['326', '368']
['337', '870']
['963', '441']
['741', '858']
['77', '551']
['113', '595']
['857', '930']
['9', '235']
['373', '551']
['624', '563']
['482', '444']
['383', '245']
['437', '908']
['446', '950']
['124', '354']
['153', '8']
['906', '363']
['652', '69']
['654', '95']
['88', '274']
['964', '523']
['458', '982']
['334', '176']
['458', '44']
['714', '569']
['852', '512']
['818', '885']
['929', '549']
['188', '267']
['450', '892']
['294', '32']
['674', '611']
['756', '21']
['948', '863']
['323', '895']
['278', '907']
['344', '279']
['852', '704']
['147', '542']
['7', '146']
['752', '655']
['175', '457']
['787', '309']
['745', '879']
['44', '302']
['537', '481']
['693', '392']
['414', '201']
['581', '157']
['96', '898']
['115', '531']
['963', '587']
['358', '388']
['847', '767']
['919', '32']
['751', '988']
['282', '971']
['79', '739']
['266', '80']
['122', '870']
['875', '106']
['347', '264']
['571', '572']
['819', '567']
['689', '317']
['846', '613']
['998', '744']
['134', '301']
['793', '996']
['633', '906']
['679', '532']
