375
2
['126', '594']
['314', '216']
['671', '625']
['655', '318']
['307', '720']
['710', '466']
['313', '664']
['465', '32']
['515', '0']
['451', '37']
['199', '624']
['77', '264']
['550', '590']
['102', '513']
['245', '549']
['91', '345']
['349', '394']
['745', '719']
['183', '517']
['419', '714']
['430', '734']
['411', '239']
['585', '112']
['608', '545']
['605', '682']
['235', '402']
['150', '449']
['739', '49']
['551', '737']
['170', '670']
['80', '554']
['335', '59']
['503', '489']
['132', '236']
['117', '729']
['171', '524']
['267', '464']
['8', '221']
['14', '441']
['607', '176']
['182', '100']
['657', '133']
['193', '229']
['683', '83']
['620', '627']
['316', '353']
['328', '577']
['548', '582']
['690', '678']
['173', '569']
['302', '94']
['519', '742']
['98', '631']
['526', '40']
['136', '194']
['347', '55']
['559', '421']
