3
249
['28', '277']
['411', '2']
['0', '388']
['313', '2']
['0', '368']
['156', '405']
['0', '301']
['1', '66']
['1', '115']
['0', '209']
['0', '251']
['1', '151']
['0', '378']
['0', '393']
['486', '2']
['0', '287']
['252', '4']
['171', '420']
['0', '499']
['305', '2']
['1', '195']
['1', '90']
['1', '240']
['1', '158']
['0', '324']
['273', '2']
['370', '2']
['1', '413']
['0', '359']
['0', '206']
['0', '26']
['406', '2']
['155', '404']
['332', '2']
['0', '234']
['410', '2']
['1', '337']
['65', '314']
['0', '329']
['0', '49']
['0', '466']
['1', '266']
['163', '412']
['1', '380']
['0', '179']
['1', '106']
['1', '450']
['351', '2']
['362', '2']
['0', '5']
['1', '334']
['1', '124']
['0', '312']
['1', '312']
['1', '286']
['56', '305']
['0', '275']
['1', '310']
['0', '276']
['1', '108']
['0', '294']
['138', '387']
['109', '358']
['1', '452']
['178', '427']
['1', '51']
['1', '468']
['0', '151']
['1', '311']
['1', '178']
['0', '240']
['1', '87']
['442', '2']
['0', '395']
['111', '360']
['296', '2']
['1', '192']
['1', '69']
['1', '486']
['331', '2']
['493', '2']
['0', '439']
['0', '160']
['0', '270']
['381', '2']
['0', '56']
['1', '282']
['1', '117']
['0', '283']
['1', '365']
['41', '290']
['1', '364']
['0', '29']
['338', '2']
['195', '444']
['0', '372']
['495', '2']
['279', '2']
['0', '51']
['0', '94']
['1', '170']
['207', '456']
['1', '245']
['51', '300']
['1', '451']
['1', '488']
['0', '481']
['141', '390']
['1', '34']
['390', '2']
['0', '305']
['0', '376']
['1', '152']
['0', '486']
['1', '419']
['1', '431']
['118', '367']
['314', '2']
['317', '2']
['1', '97']
['0', '244']
['498', '2']
['0', '284']
['0', '449']
['242', '491']
['0', '346']
['0', '65']
['100', '349']
['395', '2']
['0', '126']
['0', '433']
['1', '473']
['0', '465']
['0', '212']
['417', '2']
['0', '430']
['1', '171']
['346', '2']
['1', '494']
['1', '67']
['1', '17']
['116', '365']
['0', '413']
['1', '392']
['422', '2']
['340', '2']
['1', '202']
['336', '2']
['382', '2']
['357', '2']
['1', '236']
['459', '2']
['69', '318']
['1', '399']
['281', '2']
['140', '389']
['478', '2']
['1', '71']
['405', '2']
['0', '147']
['0', '492']
['130', '379']
['0', '78']
['0', '440']
['429', '2']
['1', '22']
['19', '268']
['420', '2']
['1', '212']
['440', '2']
['0', '286']
['323', '2']
['1', '391']
['379', '2']
['309', '2']
['0', '213']
['1', '103']
['0', '27']
['107', '356']
['0', '262']
['384', '2']
['1', '442']
['0', '453']
['315', '2']
['0', '246']
['134', '383']
['1', '443']
['71', '320']
['0', '322']
['120', '369']
['1', '7']
['0', '268']
['326', '2']
['467', '2']
['1', '44']
['404', '2']
['1', '177']
['1', '333']
['1', '426']
['0', '67']
['53', '302']
['328', '2']
['1', '299']
['477', '2']
['1', '416']
['1', '350']
['1', '50']
['1', '480']
['1', '89']
['1', '131']
['0', '469']
['0', '414']
['1', '156']
['211', '460']
['430', '2']
['335', '2']
['352', '2']
['0', '107']
['488', '2']
['1', '94']
['0', '220']
['0', '149']
['1', '387']
['226', '475']
['0', '409']
['1', '218']
['75', '324']
['1', '209']
['1', '409']
['39', '288']
['159', '408']
['1', '423']
['1', '471']
['289', '2']
['49', '298']
['255', '2']
['349', '2']
['1', '125']
['0', '36']
['0', '290']
['1', '223']
['1', '30']
['1', '200']
['282', '2']
['0', '375']
['392', '2']
['0', '341']
['295', '2']
['43', '292']
['203', '452']
['481', '2']
['121', '370']
['0', '254']
['196', '445']
['73', '322']
['1', '256']
['154', '403']
['110', '359']
