84
6
['0', '45', '85']
['0', '45', '170']
['0', '45', '255']
['0', '45', '340']
['0', '90', '85']
['0', '90', '170']
['0', '90', '255']
['0', '90', '340']
['0', '135', '85']
['0', '135', '170']
['0', '135', '255']
['0', '135', '340']
['0', '180', '85']
['0', '180', '170']
['0', '180', '255']
['0', '180', '340']
['0', '270', '85']
['0', '270', '170']
['0', '270', '255']
['0', '270', '340']
['0', '315', '85']
['0', '315', '170']
['0', '315', '255']
['0', '315', '340']
['0', '360', '85']
['0', '360', '170']
['0', '360', '255']
['0', '360', '340']
['0', '405', '85']
['0', '405', '170']
['0', '405', '255']
['0', '405', '340']
['0', '495', '85']
['0', '495', '170']
['0', '495', '255']
['0', '495', '340']
['25', '45', '85']
['25', '45', '170']
['25', '45', '255']
['25', '45', '340']
['25', '90', '85']
['25', '90', '170']
['25', '90', '255']
['25', '90', '340']
['25', '135', '85']
['25', '135', '170']
['25', '135', '255']
['25', '135', '340']
['25', '180', '85']
['25', '180', '170']
['25', '180', '255']
['25', '180', '340']
['25', '270', '85']
['25', '270', '170']
['25', '270', '255']
['25', '270', '340']
['25', '315', '85']
['25', '315', '170']
['25', '315', '255']
['25', '315', '340']
['25', '360', '85']
['25', '360', '170']
['25', '360', '255']
['25', '360', '340']
['25', '405', '85']
['25', '405', '170']
['25', '405', '255']
['25', '405', '340']
['25', '495', '85']
['25', '495', '170']
['25', '495', '255']
['25', '495', '340']
['50', '45', '85']
['50', '45', '170']
['50', '45', '255']
['50', '45', '340']
['50', '90', '85']
['50', '90', '170']
['50', '90', '255']
['50', '90', '340']
['50', '135', '85']
['50', '135', '170']
['50', '135', '255']
['50', '135', '340']
['50', '180', '85']
['50', '180', '170']
['50', '180', '255']
['50', '180', '340']
['50', '270', '85']
['50', '270', '170']
['50', '270', '255']
['50', '270', '340']
['50', '315', '85']
['50', '315', '170']
['50', '315', '255']
['50', '315', '340']
['50', '360', '85']
['50', '360', '170']
['50', '360', '255']
['50', '360', '340']
['50', '405', '85']
['50', '405', '170']
['50', '405', '255']
['50', '405', '340']
['50', '495', '85']
['50', '495', '170']
['50', '495', '255']
['50', '495', '340']
['75', '45', '85']
['75', '45', '170']
['75', '45', '255']
['75', '45', '340']
['75', '90', '85']
['75', '90', '170']
['75', '90', '255']
['75', '90', '340']
['75', '135', '85']
['75', '135', '170']
['75', '135', '255']
['75', '135', '340']
['75', '180', '85']
['75', '180', '170']
['75', '180', '255']
['75', '180', '340']
['75', '270', '85']
['75', '270', '170']
['75', '270', '255']
['75', '270', '340']
['75', '315', '85']
['75', '315', '170']
['75', '315', '255']
['75', '315', '340']
['75', '360', '85']
['75', '360', '170']
['75', '360', '255']
['75', '360', '340']
['75', '405', '85']
['75', '405', '170']
['75', '405', '255']
['75', '405', '340']
['75', '495', '85']
['75', '495', '170']
['75', '495', '255']
['75', '495', '340']
['100', '45', '85']
['100', '45', '170']
['100', '45', '255']
['100', '45', '340']
['100', '90', '85']
['100', '90', '170']
['100', '90', '255']
['100', '90', '340']
['100', '135', '85']
['100', '135', '170']
['100', '135', '255']
['100', '135', '340']
['100', '180', '85']
['100', '180', '170']
['100', '180', '255']
['100', '180', '340']
['100', '270', '85']
['100', '270', '170']
['100', '270', '255']
['100', '270', '340']
['100', '315', '85']
['100', '315', '170']
['100', '315', '255']
['100', '315', '340']
['100', '360', '85']
['100', '360', '170']
['100', '360', '255']
['100', '360', '340']
['100', '405', '85']
['100', '405', '170']
['100', '405', '255']
['100', '405', '340']
['100', '495', '85']
['100', '495', '170']
['100', '495', '255']
['100', '495', '340']
['125', '45', '85']
['125', '45', '170']
['125', '45', '255']
['125', '45', '340']
['125', '90', '85']
['125', '90', '170']
['125', '90', '255']
['125', '90', '340']
['125', '135', '85']
['125', '135', '170']
['125', '135', '255']
['125', '135', '340']
['125', '180', '85']
['125', '180', '170']
['125', '180', '255']
['125', '180', '340']
['125', '270', '85']
['125', '270', '170']
['125', '270', '255']
['125', '270', '340']
['125', '315', '85']
['125', '315', '170']
['125', '315', '255']
['125', '315', '340']
['125', '360', '85']
['125', '360', '170']
['125', '360', '255']
['125', '360', '340']
['125', '405', '85']
['125', '405', '170']
['125', '405', '255']
['125', '405', '340']
['125', '495', '85']
['125', '495', '170']
['125', '495', '255']
['125', '495', '340']
['150', '45', '85']
['150', '45', '170']
['150', '45', '255']
['150', '45', '340']
['150', '90', '85']
['150', '90', '170']
['150', '90', '255']
['150', '90', '340']
['150', '135', '85']
['150', '135', '170']
['150', '135', '255']
['150', '135', '340']
['150', '180', '85']
['150', '180', '170']
['150', '180', '255']
['150', '180', '340']
['150', '270', '85']
['150', '270', '170']
['150', '270', '255']
['150', '270', '340']
['150', '315', '85']
['150', '315', '170']
['150', '315', '255']
['150', '315', '340']
['150', '360', '85']
['150', '360', '170']
['150', '360', '255']
['150', '360', '340']
['150', '405', '85']
['150', '405', '170']
['150', '405', '255']
['150', '405', '340']
['150', '495', '85']
['150', '495', '170']
['150', '495', '255']
['150', '495', '340']
['175', '45', '85']
['175', '45', '170']
['175', '45', '255']
['175', '45', '340']
['175', '90', '85']
['175', '90', '170']
['175', '90', '255']
['175', '90', '340']
['175', '135', '85']
['175', '135', '170']
['175', '135', '255']
['175', '135', '340']
['175', '180', '85']
['175', '180', '170']
['175', '180', '255']
['175', '180', '340']
['175', '270', '85']
['175', '270', '170']
['175', '270', '255']
['175', '270', '340']
['175', '315', '85']
['175', '315', '170']
['175', '315', '255']
['175', '315', '340']
['175', '360', '85']
['175', '360', '170']
['175', '360', '255']
['175', '360', '340']
['175', '405', '85']
['175', '405', '170']
['175', '405', '255']
['175', '405', '340']
['175', '495', '85']
['175', '495', '170']
['175', '495', '255']
['175', '495', '340']
['200', '45', '85']
['200', '45', '170']
['200', '45', '255']
['200', '45', '340']
['200', '90', '85']
['200', '90', '170']
['200', '90', '255']
['200', '90', '340']
['200', '135', '85']
['200', '135', '170']
['200', '135', '255']
['200', '135', '340']
['200', '180', '85']
['200', '180', '170']
['200', '180', '255']
['200', '180', '340']
['200', '270', '85']
['200', '270', '170']
['200', '270', '255']
['200', '270', '340']
['200', '315', '85']
['200', '315', '170']
['200', '315', '255']
['200', '315', '340']
['200', '360', '85']
['200', '360', '170']
['200', '360', '255']
['200', '360', '340']
['200', '405', '85']
['200', '405', '170']
['200', '405', '255']
['200', '405', '340']
['200', '495', '85']
['200', '495', '170']
['200', '495', '255']
['200', '495', '340']
['225', '45', '85']
['225', '45', '170']
['225', '45', '255']
['225', '45', '340']
['225', '90', '85']
['225', '90', '170']
['225', '90', '255']
['225', '90', '340']
['225', '135', '85']
['225', '135', '170']
['225', '135', '255']
['225', '135', '340']
['225', '180', '85']
['225', '180', '170']
['225', '180', '255']
['225', '180', '340']
['225', '270', '85']
['225', '270', '170']
['225', '270', '255']
['225', '270', '340']
['225', '315', '85']
['225', '315', '170']
['225', '315', '255']
['225', '315', '340']
['225', '360', '85']
['225', '360', '170']
['225', '360', '255']
['225', '360', '340']
['225', '405', '85']
['225', '405', '170']
['225', '405', '255']
['225', '405', '340']
['225', '495', '85']
['225', '495', '170']
['225', '495', '255']
['225', '495', '340']
['250', '45', '85']
['250', '45', '170']
['250', '45', '255']
['250', '45', '340']
['250', '90', '85']
['250', '90', '170']
['250', '90', '255']
['250', '90', '340']
['250', '135', '85']
['250', '135', '170']
['250', '135', '255']
['250', '135', '340']
['250', '180', '85']
['250', '180', '170']
['250', '180', '255']
['250', '180', '340']
['250', '270', '85']
['250', '270', '170']
['250', '270', '255']
