['380', '962', '52', '100', '515', '777', '150', '668', '634', '900', '773', '719', '638', '109', '603', '23', '131', '983', '367', '442', '173', '839', '117', '754', '640', '977', '955', '375', '115', '724', '932', '257', '302', '672', '371', '694', '14', '379', '729', '121', '390', '35', '405', '332', '925', '93', '770', '300', '964', '887']
['862', '605', '268', '422', '793', '745', '858', '655', '215', '954', '869', '42', '217', '51', '654', '913', '889', '659', '315', '221', '623', '412', '766', '538', '763', '87', '432', '708', '914', '76', '261', '593', '633', '285', '272', '990', '176', '37', '18', '298', '690', '517', '692', '445', '742', '75', '740', '507', '103', '296']
['912', '453', '959', '856', '982', '169', '942', '660', '732', '348', '650', '124', '749', '637', '246', '26', '500', '97', '911', '619', '486', '906', '683', '662', '567', '55', '926', '40', '888', '472', '353', '582', '447', '840', '596', '30', '317', '264', '761', '67', '860', '207', '744', '798', '819', '897', '313', '323', '230', '485']
['163', '135', '50', '817', '570', '717', '259', '519', '17', '859', '874', '0', '458', '697', '503', '918', '936', '696', '366', '561', '768', '674', '194', '760', '116', '616', '274', '803', '700', '210', '553', '973', '945', '498', '670', '223', '299', '336', '28', '953', '238', '435', '934', '193', '607', '282', '356', '971', '408', '666']
['890', '513', '295', '758', '157', '613', '901', '976', '90', '363', '543', '111', '83', '170', '159', '351', '532', '202', '853', '9', '576', '172', '910', '618', '102', '566', '892', '734', '731', '972', '850', '598', '21', '512', '489', '209', '820', '404', '508', '15', '903', '896', '664', '457', '73', '882', '728', '924', '863', '720']
['546', '469', '917', '885', '930', '372', '950', '599', '439', '69', '621', '572', '530', '783', '526', '39', '254', '270', '44', '401', '772', '846', '185', '249', '175', '95', '283', '939', '867', '630', '941', '891', '154', '256', '459', '48', '551', '795', '841', '535', '72', '812', '361', '288', '557', '480', '756', '71', '775', '855']
['339', '679', '7', '665', '806', '165', '482', '987', '47', '573', '355', '206', '529', '99', '825', '601', '237', '222', '824', '547', '178', '81', '562', '74', '927', '241', '189', '204', '276', '168', '421', '468', '200', '661', '928', '627', '409', '263', '224', '786', '345', '784', '943', '875', '407', '391', '790', '208', '126', '196']
['297', '389', '608', '609', '245', '85', '614', '564', '586', '792', '316', '197', '880', '876', '985', '722', '590', '79', '569', '949', '343', '558', '232', '765', '957', '388', '239', '583', '944', '907', '739', '727', '642', '920', '436', '656', '183', '578', '330', '704', '148', '703', '597', '160', '347', '604', '114', '186', '294']
['252', '678', '314', '808', '639', '947', '464', '327', '998', '248', '673', '767', '335', '309', '574', '628', '46', '931', '211', '311', '455', '510', '804', '929', '663', '818', '113', '493', '988', '182', '864', '935', '484', '258', '235', '226', '657', '434', '167', '456', '118', '575', '370', '138', '491', '974', '904', '545', '807', '125']
['701', '410', '10', '979', '991', '531', '431', '250', '626', '579', '868', '473', '147', '816', '796', '591', '632', '815', '273', '321', '647', '227', '702', '738', '733', '265', '225', '565', '396', '511', '78', '240', '671', '387', '827', '13', '352', '413', '676', '830', '750', '737', '753', '789', '444', '303', '340', '307', '534', '782']
['571', '49', '872', '218', '64', '419', '411', '548', '286', '34', '96', '842', '271', '852', '158', '715', '762', '539', '581', '134', '814', '794', '828', '502', '802', '759', '778', '341', '338', '550', '970', '45', '305', '451', '467', '11', '978', '88', '524', '695', '537', '716', '129', '301', '883', '284', '280', '497', '139', '201']
['308', '669', '181', '198', '331', '394', '689', '29', '705', '866', '27', '266', '329', '293', '648', '43', '505', '281', '541', '133', '33', '63', '465', '805', '995', '580', '110', '594', '137', '269', '577', '857', '136', '636', '278', '726', '376', '847', '1', '821', '691', '395', '899', '216', '961', '956', '106', '312', '127', '707']
['780', '195', '861', '360', '231', '625', '518', '446', '344', '123', '981', '234', '325', '966', '350', '735', '384', '496', '62', '479', '3', '440', '967', '826', '688', '277', '488', '680', '643', '714', '481', '243', '386', '894', '427', '144', '242', '617', '527', '171', '980', '989', '499', '838', '24', '403', '362', '470', '418', '611']
['59', '349', '879', '5', '629', '884', '400', '357', '549', '253', '718', '952', '31', '776', '843', '837', '757', '449', '393', '306', '41', '984', '644', '612', '533', '454', '279', '430', '525', '635', '322', '845', '166', '70', '823', '478', '559', '865', '743', '487', '54', '682', '153', '66', '358', '831', '324', '788', '38', '686']
['631', '514', '886', '291', '65', '290', '378', '61', '437', '91', '800', '958', '523', '687', '881', '592', '771', '424', '710', '898', '848', '267', '471', '122', '68', '233', '382', '588', '365', '251', '893', '184', '492', '832', '555', '785', '602', '460', '600', '986', '346', '646', '713', '32', '462', '495', '938', '255', '844', '528']
['128', '130', '2', '463', '318', '142', '448', '873', '12', '203', '373', '909', '667', '960', '620', '755', '736', '969', '392', '140', '433', '544', '908', '423', '809', '870', '53', '180', '560', '922', '836', '152', '475', '675', '556', '461', '8', '406', '684', '101', '56', '443', '905', '287', '721', '450', '615', '833', '247', '398']
['474', '877', '652', '402', '940', '787', '132', '693', '769', '212', '441', '781', '416', '213', '563', '829', '658', '214', '146', '141', '319', '374', '951', '645', '192', '520', '801', '205', '501', '108', '438', '711', '568', '383', '730', '155', '145', '996', '466', '963', '156', '851', '80', '595', '797', '6', '236', '490', '381', '414']
['649', '397', '328', '364', '476', '161', '681', '119', '399', '228', '359', '86', '747', '641', '92', '610', '834', '179', '20', '174', '698', '326', '699', '337', '417', '98', '428', '554', '377', '334', '191', '993', '774', '902', '4', '854', '752', '923', '791', '177', '764', '552', '997', '304', '82', '622', '725', '968', '16', '937']
['354', '712', '946', '333', '425', '677', '706', '219', '522', '779', '420', '220', '89', '835', '494', '199', '994', '799', '606', '60', '585', '426', '878', '741', '895', '22', '320', '84', '811', '709', '521', '477', '948', '151', '107', '187', '748', '483', '143', '36', '275', '504', '921', '94', '104', '624', '992', '162', '723', '342']
