['974', '446', '185', '421', '592', '287', '646', '372', '63', '52', '849', '986', '730', '330', '177', '872', '89', '577', '949', '604', '921', '348', '714', '354', '4']
['804', '891', '838', '660', '420', '187', '337', '632', '669', '668', '351', '819', '696', '275', '44', '732', '116', '820', '954', '518', '654', '364', '315', '65', '377']
['728', '737', '375', '510', '498', '792', '763', '386', '776', '313', '303', '662', '606', '509', '644', '201', '511', '704', '413', '770', '691', '31', '694', '153', '332']
['478', '755', '202', '210', '443', '367', '551', '169', '368', '58', '774', '106', '534', '572', '765', '997', '118', '14', '399', '492', '748', '3', '306', '720', '19']
['464', '18', '424', '103', '580', '885', '595', '46', '129', '870', '508', '879', '582', '233', '468', '389', '727', '806', '607', '319', '911', '914', '535', '300', '266']
['270', '655', '107', '617', '647', '602', '494', '746', '546', '137', '939', '912', '775', '797', '966', '216', '359', '735', '637', '257', '146', '761', '858', '726', '135']
['591', '211', '96', '29', '718', '113', '277', '115', '563', '127', '406', '407', '12', '47', '895', '119', '388', '641', '923', '193', '73', '456', '690', '826', '69']
['743', '752', '920', '381', '843', '833', '462', '402', '91', '893', '519', '803', '242', '906', '147', '791', '650', '955', '467', '379', '999', '795', '652', '409', '436']
['677', '513', '239', '736', '416', '962', '60', '936', '786', '422', '253', '142', '656', '836', '32', '289', '485', '254', '200', '454', '459', '384', '931', '475', '438']
['927', '34', '80', '648', '136', '5', '244', '958', '219', '539', '581', '209', '596', '610', '764', '571', '469', '802', '967', '360', '250', '578', '228', '886', '532']
['961', '831', '264', '296', '183', '90', '528', '745', '550', '586', '709', '865', '900', '328', '476', '336', '232', '521', '415', '100', '434', '236', '556', '458', '805']
['750', '545', '925', '918', '959', '441', '125', '165', '241', '218', '297', '444', '75', '410', '894', '86', '396', '807', '225', '840', '665', '286', '917', '151', '883']
['524', '42', '199', '859', '566', '30', '623', '460', '329', '520', '252', '154', '27', '830', '970', '658', '401', '930', '71', '926', '965', '9', '622', '33', '941']
['307', '682', '432', '988', '497', '284', '145', '558', '657', '404', '168', '481', '707', '61', '589', '309', '512', '514', '839', '442', '355', '312', '784', '928', '171']
['749', '290', '639', '964', '298', '570', '996', '706', '771', '904', '81', '710', '943', '505', '25', '249', '21', '28', '549', '620', '699', '62', '679', '994', '975']
['295', '907', '700', '866', '488', '522', '711', '697', '302', '318', '874', '93', '166', '237', '279', '981', '455', '397', '942', '349', '184', '101', '557', '933', '554']
