['516', '594', '784', '571', '79', '241', '363', '1', '714', '86', '567', '152', '978', '630', '441', '908', '747', '349', '767', '238']
['0', '781', '123', '543', '414', '574', '876', '2', '275', '943', '206', '261', '326', '404', '667', '637', '771', '104', '993', '467']
['48', '673', '966', '247', '493', '199', '530', '579', '89', '927', '682', '577', '473', '847', '94', '402', '909', '103', '523', '739']
['538', '319', '618', '155', '479', '55', '190', '901', '400', '313', '465', '253', '316', '955', '449', '546', '297', '60', '898', '559']
['745', '820', '568', '37', '650', '657', '135', '133', '770', '438', '676', '443', '947', '97', '935', '939', '604', '382', '845', '480']
['68', '786', '849', '278', '797', '805', '878', '250', '826', '394', '553', '331', '625', '342', '600', '560', '289', '371', '991', '171']
['886', '893', '790', '841', '686', '707', '62', '240', '929', '687', '529', '439', '419', '769', '925', '961', '525', '973', '869', '172']
['348', '696', '511', '634', '825', '36', '882', '9', '271', '524', '477', '509', '252', '173', '926', '220', '455', '573', '651', '983']
['52', '385', '718', '902', '680', '821', '169', '992', '754', '881', '146', '880', '796', '652', '540', '83', '866', '549', '10', '734']
['700', '242', '204', '109', '678', '772', '642', '708', '556', '813', '16', '129', '552', '884', '589', '710', '527', '5', '30', '149']
['346', '694', '486', '753', '606', '699', '132', '399', '225', '301', '185', '61', '737', '167', '291', '783', '246', '51', '919', '756']
['73', '917', '81', '498', '531', '807', '834', '436', '481', '979', '411', '186', '266', '545', '672', '970', '69', '719', '484', '701']
['996', '875', '580', '378', '695', '416', '787', '345', '203', '920', '532', '259', '599', '762', '736', '931', '774', '504', '379', '959']
['295', '778', '257', '187', '984', '309', '25', '544', '294', '139', '918', '855', '617', '407', '924', '840', '91', '71', '32', '154']
['368', '134', '442', '620', '519', '158', '435', '20', '496', '347', '182', '867', '53', '232', '930', '138', '211', '446', '823', '67']
['277', '897', '615', '23', '283', '180', '692', '913', '422', '463', '986', '965', '733', '799', '156', '472', '791', '832', '27', '941']
['120', '681', '933', '838', '517', '907', '201', '409', '949', '666', '397', '324', '476', '88', '320', '254', '432', '162', '534', '616']
['296', '45', '612', '198', '619', '72', '392', '369', '57', '433', '689', '697', '42', '356', '602', '679', '717', '994', '377', '542']
['192', '952', '950', '759', '75', '333', '622', '656', '830', '8', '900', '216', '572', '704', '178', '777', '298', '490', '644', '393']
['398', '272', '144', '328', '78', '915', '113', '505', '6', '518', '469', '215', '598', '15', '601', '788', '357', '312', '115', '148']
['373', '124', '332', '164', '775', '197', '227', '126', '273', '661', '743', '95', '967', '362', '177', '343', '417', '946', '236', '564']
['603', '883', '482', '975', '403', '611', '307', '794', '605', '911', '66', '755', '170', '944', '827', '658', '675', '317', '43', '558']
['626', '193', '818', '137', '205', '354', '501', '292', '14', '251', '431', '475', '810', '819', '128', '456', '853', '315', '184', '837']
['351', '478', '285', '536', '685', '740', '508', '628', '746', '49', '735', '116', '744', '325', '131', '822', '633', '461', '874', '293']
['231', '194', '982', '916', '948', '352', '728', '245', '629', '376', '488', '93', '715', '494', '151', '101', '239', '308', '84', '366']
['856', '985', '576', '460', '286', '809', '391', '877', '213', '584', '28', '263', '188', '812', '450', '535', '639', '862', '824', '583']
['803', '258', '408', '765', '722', '208', '591', '372', '290', '962', '176', '412', '872', '768', '99', '563', '230', '802', '270', '817']
['18', '503', '235', '864', '586', '361', '512', '300', '118', '670', '237', '74', '852', '934', '358', '995', '899', '58', '318', '614']
['522', '11', '145', '196', '337', '851', '520', '814', '353', '367', '951', '763', '760', '885', '249', '669', '608', '815', '218', '50']
['121', '663', '712', '386', '690', '521', '857', '726', '405', '159', '903', '117', '623', '831', '122', '274', '566', '280', '430', '255']
['107', '895', '640', '684', '513', '887', '671', '24', '641', '590', '732', '306', '932', '429', '321', '13', '963', '833', '798', '130']
['922', '41', '782', '448', '859', '341', '223', '365', '631', '87', '17', '485', '894', '459', '507', '793', '380', '287', '157', '80']
['548', '727', '425', '683', '865', '752', '621', '359', '811', '428', '980', '413', '581', '713', '738', '77', '56', '761', '510', '578']
['960', '276', '910', '322', '119', '174', '35', '4', '305', '499', '863', '953', '47', '936', '565', '150', '424', '54', '850', '344']
['269', '547', '643', '175', '65', '969', '452', '988', '730', '808', '64', '222', '806', '751', '858', '879', '554', '492', '234', '7']
['997', '921', '12', '844', '70', '497', '800', '434', '716', '749', '256', '375', '720', '191', '792', '228', '389', '495', '776', '219']
['421', '945', '593', '339', '282', '457', '233', '693', '974', '260', '555', '22', '569', '108', '46', '458', '364', '990', '861', '454']
['764', '161', '854', '647', '662', '842', '848', '801', '243', '609', '390', '655', '396', '741', '515', '3', '873', '977', '179', '202']
['384', '582', '288', '928', '90', '688', '938', '766', '646', '723', '780', '711', '311', '773', '136', '470', '668', '163', '63', '905']
['200', '562', '387', '537', '111', '551', '654', '302', '327', '214', '335', '742', '323', '632', '846', '779', '147', '189', '40', '596']
['474', '299', '999', '968', '160', '539', '923', '500', '981', '904', '804', '835', '451', '888', '437', '374', '406', '284', '466', '401']
['541', '665', '85', '340', '709', '489', '914', '816', '706', '954', '418', '423', '725', '610', '870', '314', '462', '125', '92', '906']
['105', '829', '267', '141', '890', '334', '896', '268', '860', '31', '110', '702', '587', '750', '262', '758', '426', '645', '677', '338']
['528', '106', '575', '795', '221', '889', '265', '570', '360', '336', '100', '649', '440', '39', '660', '370', '585', '597', '557', '21']
['789', '395', '785', '487', '310', '757', '892', '140', '561', '279', '957', '891', '506', '971', '26', '721', '871', '96', '44', '998']
['843', '209', '912', '502', '836', '112', '550', '464', '698', '183', '114', '420', '168', '34', '153', '76', '38', '143', '82', '166']
['613', '703', '729', '447', '229', '533', '731', '635', '839', '748', '942', '491', '453', '165', '483', '940', '659', '226', '303', '142']
['212', '224', '383', '868', '415', '210', '329', '19', '648', '674', '468', '595', '445', '624', '33', '588', '972', '627', '304', '264']
['705', '355', '514', '281', '350', '444', '427', '29', '207', '664', '636', '388', '127', '937', '987', '217', '653', '195', '724', '59']
['958', '98', '976', '410', '607', '638', '828', '691', '956', '989', '592', '471', '330', '964', '381', '244', '181', '526', '102', '248']
