['775', '650', '904', '658', '997']
['477', '544', '691', '440', '482']
['973', '221', '983', '921', '666']
['295', '704', '573', '750', '99']
['420', '620', '408', '40', '537']
['75', '118', '535', '320', '233']
['679', '893', '497', '480', '162']
['505', '61', '432', '146', '968']
['324', '981', '680', '3', '245']
['687', '357', '967', '840', '276']
['416', '456', '757', '959', '714']
['351', '261', '614', '139', '721']
['635', '413', '956', '225', '784']
['79', '786', '930', '166', '14']
['436', '847', '461', '142', '19']
['201', '285', '190', '716', '60']
['371', '880', '390', '794', '638']
['240', '122', '886', '668', '383']
['138', '780', '18', '291', '450']
['398', '58', '391', '155', '977']
['89', '619', '545', '80', '34']
['384', '452', '791', '218', '574']
['25', '796', '307', '215', '272']
['931', '539', '438', '806', '115']
['753', '804', '604', '363', '735']
['355', '521', '306', '22', '853']
['734', '131', '621', '972', '321']
['629', '623', '103', '818', '156']
['758', '125', '618', '442', '394']
['10', '889', '877', '47', '428']
['764', '733', '641', '554', '2']
['843', '978', '257', '991', '237']
['695', '801', '709', '923', '248']
['170', '626', '711', '568', '655']
['286', '264', '273', '698', '736']
['500', '917', '484', '962', '732']
['8', '672', '976', '406', '890']
['11', '861', '421', '503', '743']
['754', '872', '396', '226', '82']
['116', '317', '210', '745', '876']
['839', '532', '302', '958', '814']
['612', '90', '669', '457', '584']
['909', '331', '136', '449', '731']
['220', '64', '548', '130', '230']
['874', '522', '185', '44', '533']
['897', '106', '515', '948', '657']
['222', '661', '445', '483', '950']
['491', '369', '347', '178', '42']
['45', '161', '267', '298', '576']
['174', '940', '555', '435', '935']
['566', '417', '466', '662', '128']
['842', '304', '364', '637', '600']
['180', '102', '939', '508', '16']
['423', '382', '785', '622', '999']
['463', '625', '942', '209', '310']
['157', '149', '990', '325', '395']
['854', '23', '837', '871', '925']
['339', '400', '663', '224', '399']
['448', '123', '259', '175', '327']
['281', '938', '822', '868', '529']
['333', '374', '873', '740', '895']
['5', '334', '453', '326', '13']
['863', '523', '431', '492', '766']
['673', '701', '52', '303', '268']
['659', '777', '937', '367', '615']
['124', '311', '816', '697', '254']
['152', '830', '692', '465', '368']
['163', '56', '38', '378', '488']
['17', '314', '856', '49', '427']
['844', '57', '864', '336', '748']
['653', '823', '761', '27', '377']
['971', '944', '280', '135', '560']
['219', '112', '955', '907', '474']
['557', '100', '54', '670', '187']
['964', '41', '902', '674', '774']
['910', '685', '826', '647', '688']
['255', '322', '509', '9', '589']
['373', '624', '35', '651', '389']
['742', '571', '520', '239', '768']
['845', '892', '644', '179', '875']
['645', '540', '121', '689', '101']
['808', '592', '581', '884', '154']
['32', '852', '439', '241', '949']
['68', '783', '183', '813', '543']
['601', '728', '966', '455', '920']
['901', '963', '370', '527', '831']
['167', '205', '569', '376', '712']
['251', '65', '171', '36', '168']
['74', '340', '359', '198', '807']
['779', '67', '283', '430', '242']
['596', '86', '316', '454', '388']
['703', '4', '617', '800', '323']
['206', '164', '211', '426', '318']
['62', '228', '338', '678', '643']
['111', '888', '407', '379', '749']
['770', '879', '767', '473', '664']
['577', '762', '193', '882', '127']
['6', '181', '362', '21', '926']
['92', '927', '144', '496', '915']
['208', '781', '525', '88', '94']
['464', '176', '989', '481', '903']
['169', '887', '941', '583', '143']
['284', '934', '470', '308', '835']
['494', '411', '73', '216', '730']
['992', '866', '93', '752', '459']
['841', '896', '213', '848', '197']
['410', '227', '460', '263', '437']
['599', '372', '145', '811', '294']
['526', '165', '556', '549', '782']
['699', '969', '387', '760', '184']
['275', '113', '914', '1', '953']
['356', '204', '478', '640', '95']
['827', '954', '133', '223', '512']
['48', '722', '217', '78', '188']
['726', '631', '541', '353', '924']
['563', '234', '744', '12', '558']
['354', '97', '404', '380', '878']
['253', '202', '998', '66', '590']
['15', '292', '654', '919', '70']
['802', '729', '996', '493', '660']
['819', '151', '891', '580', '708']
['446', '719', '979', '425', '922']
['551', '681', '675', '489', '249']
['815', '582', '59', '634', '109']
['859', '393', '772', '282', '628']
['81', '602', '769', '610', '349']
['682', '869', '392', '534', '243']
['236', '690', '630', '715', '912']
['594', '200', '72', '341', '586']
['965', '422', '632', '916', '108']
['773', '547', '158', '447', '129']
['147', '117', '159', '269', '597']
['475', '83', '598', '778', '462']
['250', '717', '405', '988', '918']
['693', '345', '31', '409', '238']
['747', '458', '702', '562', '945']
['850', '575', '738', '55', '300']
['985', '397', '24', '252', '510']
['546', '516', '932', '975', '153']
['987', '810', '214', '994', '189']
['309', '207', '970', '501', '486']
['192', '836', '567', '385', '140']
['578', '229', '246', '913', '20']
['485', '741', '720', '490', '98']
['929', '182', '137', '765', '812']
['706', '606', '908', '203', '105']
['262', '881', '885', '91', '270']
['319', '504', '829', '119', '605']
['507', '905', '265', '232', '982']
['883', '898', '441', '258', '502']
['84', '186', '335', '865', '332']
['713', '834', '530', '642', '7']
['849', '559', '30', '134', '724']
['434', '419', '746', '851', '358']
['803', '495', '570', '443', '846']
['424', '867', '564', '476', '936']
['141', '723', '579', '472', '776']
['348', '636', '37', '296', '616']
['366', '375', '235', '433', '609']
['542', '995', '799', '361', '69']
['297', '46', '946', '415', '591']
['795', '857', '104', '900', '832']
['53', '260', '274', '114', '126']
['289', '330', '346', '511', '833']
['63', '561', '96', '788', '51']
['553', '986', '595', '587', '403']
['271', '707', '277', '360', '710']
['787', '414', '980', '195', '77']
['278', '328', '870', '150', '739']
['974', '952', '797', '299', '825']
['536', '342', '572', '402', '633']
['611', '315', '256', '677', '751']
['809', '789', '790', '855', '671']
['279', '858', '984', '676', '727']
['444', '593', '792', '700', '821']
['588', '517', '608', '287', '824']
['329', '468', '85', '531', '960']
['528', '613', '793', '344', '817']
['911', '646', '0', '951', '755']
['993', '550', '337', '894', '639']
['696', '737', '247', '43', '28']
['194', '928', '381', '518', '585']
['649', '499', '947', '76', '656']
['506', '487', '686', '718', '513']
['244', '565', '627', '684', '943']
['87', '759', '519', '352', '288']
['665', '312', '199', '196', '386']
['756', '725', '365', '71', '471']
['313', '798', '290', '212', '648']
['652', '498', '467', '838', '266']
['538', '961', '899', '820', '860']
['469', '120', '148', '906', '552']
['694', '828', '33', '107', '805']
['29', '607', '191', '862', '763']
['343', '429', '132', '514', '173']
['683', '177', '667', '305', '172']
['412', '26', '110', '301', '293']
['705', '957', '479', '39', '350']
['418', '603', '160', '401', '771']
['50', '524', '451', '231', '933']
