['668', '976', '713', '255', '44', '110', '376', '892', '112', '634', '559', '87', '845', '245', '595', '525', '953', '489', '506', '9']
['164', '521', '193', '656', '273', '541', '698', '216', '998', '377', '540', '380', '788', '81', '236', '660', '103', '973', '410', '108']
['115', '699', '575', '674', '573', '100', '223', '392', '399', '651', '10', '918', '495', '294', '329', '448', '192', '200', '323', '692']
['18', '850', '35', '157', '300', '343', '336', '920', '191', '733', '593', '328', '82', '807', '496', '566', '484', '874', '199', '928']
['756', '370', '165', '908', '275', '619', '334', '661', '832', '752', '433', '969', '340', '708', '228', '986', '458', '45', '22', '79']
['163', '169', '725', '122', '449', '488', '372', '520', '78', '443', '568', '2', '225', '509', '805', '466', '965', '26', '146', '723']
['988', '742', '822', '563', '481', '902', '54', '309', '302', '605', '437', '156', '592', '180', '885', '706', '718', '512', '155', '537']
['99', '654', '65', '362', '710', '769', '722', '985', '826', '107', '727', '782', '429', '835', '644', '690', '408', '662', '70', '905']
['332', '556', '57', '684', '393', '364', '546', '547', '222', '952', '305', '682', '313', '348', '360', '381', '600', '447', '770', '843']
['590', '904', '117', '697', '84', '956', '477', '68', '55', '687', '83', '991', '75', '829', '533', '728', '462', '878', '214', '589']
['504', '105', '243', '503', '887', '696', '859', '927', '780', '514', '101', '293', '972', '39', '877', '480', '502', '507', '603', '683']
['875', '482', '681', '263', '635', '423', '861', '135', '450', '281', '846', '325', '808', '52', '935', '413', '485', '819', '923', '552']
['596', '824', '747', '658', '688', '667', '702', '945', '421', '206', '624', '774', '856', '63', '64', '457', '984', '86', '491', '669']
['409', '996', '134', '435', '168', '629', '779', '841', '239', '818', '140', '242', '763', '210', '119', '898', '311', '203', '287', '916']
['181', '322', '137', '459', '623', '441', '312', '666', '889', '676', '172', '530', '535', '665', '701', '43', '473', '127', '528', '821']
['288', '855', '383', '743', '817', '815', '578', '121', '41', '268', '118', '942', '351', '451', '522', '285', '204', '640', '227', '553']
['570', '208', '282', '958', '147', '463', '333', '91', '347', '314', '405', '576', '304', '80', '153', '455', '212', '738', '145', '67']
['562', '924', '158', '642', '609', '615', '670', '852', '499', '789', '292', '647', '178', '671', '367', '152', '854', '258', '888', '384']
['880', '968', '868', '306', '198', '604', '602', '796', '60', '646', '574', '933', '672', '557', '141', '726', '657', '0', '31', '899']
['116', '636', '894', '355', '836', '560', '983', '960', '56', '279', '500', '109', '882', '124', '207', '159', '197', '143', '544', '886']
['643', '729', '73', '831', '465', '379', '523', '957', '453', '471', '69', '94', '599', '256', '23', '594', '941', '921', '734', '349']
['401', '760', '290', '248', '919', '732', '280', '853', '220', '673', '386', '903', '37', '679', '911', '768', '77', '264', '72', '120']
['424', '549', '731', '132', '510', '912', '827', '931', '59', '126', '297', '715', '363', '15', '775', '490', '183', '28', '196', '468']
['257', '319', '926', '274', '527', '53', '125', '798', '419', '388', '639', '606', '151', '781', '966', '838', '746', '387', '129', '834']
['357', '611', '616', '403', '398', '750', '627', '938', '440', '588', '250', '793', '719', '76', '806', '211', '944', '111', '24', '678']
['730', '98', '436', '539', '339', '864', '262', '414', '96', '951', '632', '270', '680', '321', '20', '32', '439', '516', '27', '994']
['389', '307', '949', '876', '12', '62', '167', '716', '276', '650', '765', '25', '569', '518', '997', '550', '432', '979', '21', '842']
['40', '310', '5', '179', '631', '498', '811', '932', '554', '963', '900', '29', '906', '46', '515', '582', '959', '426', '259', '368']
['790', '378', '461', '883', '607', '356', '517', '890', '791', '14', '739', '897', '993', '755', '587', '759', '162', '324', '714', '577']
['142', '467', '839', '980', '721', '879', '253', '177', '95', '567', '417', '47', '298', '359', '785', '277', '572', '358', '915', '925']
['74', '814', '524', '252', '150', '830', '472', '430', '382', '244', '260', '452', '230', '711', '800', '478', '391', '917', '736', '341']
