['225', '928', '716', '971', '941', '86', '150']
['138', '680', '492', '731', '523', '843', '346']
['929', '534', '768', '33', '368', '485', '857']
['735', '375', '189', '798', '61', '237', '421']
['128', '118', '343', '444', '157', '341', '551']
['469', '340', '584', '947', '281', '462', '486']
['675', '859', '962', '570', '891', '491', '10']
['580', '645', '674', '177', '603', '20', '901']
['609', '202', '162', '541', '576', '759', '930']
['473', '474', '608', '209', '574', '761', '497']
['942', '258', '66', '161', '805', '616', '589']
['590', '639', '367', '147', '521', '771', '379']
['866', '233', '900', '165', '557', '885', '662']
['24', '65', '369', '774', '207', '762', '926']
['968', '709', '182', '498', '131', '682', '53']
['807', '321', '514', '223', '155', '130', '459']
['109', '297', '713', '270', '726', '394', '625']
['181', '364', '927', '721', '953', '663', '88']
['773', '874', '751', '180', '633', '330', '676']
['104', '217', '835', '390', '171', '565', '114']
['780', '810', '58', '869', '880', '64', '765']
['378', '959', '898', '865', '439', '18', '724']
['936', '569', '944', '889', '554', '141']
['746', '673', '895', '263', '910', '268', '849']
['863', '110', '644', '430', '525', '888', '502']
['723', '526', '392', '204', '940', '860', '443']
['362', '806', '602', '329', '634', '686', '500']
['596', '550', '632', '712', '256', '704', '317']
['123', '657', '295', '152', '830', '961', '174']
['909', '838', '801', '643', '192', '636', '71']
['701', '318', '587', '684', '435', '450', '573']
['413', '699', '446', '32', '463', '438', '57']
['374', '547', '458', '56', '455', '167', '267']
['799', '501', '828', '937', '168', '226', '397']
['434', '309', '972', '95', '332', '349', '561']
['654', '789', '566', '688', '137', '886', '694']
['153', '524', '867', '176', '564', '967', '307']
['690', '238', '313', '76', '87', '370', '853']
['436', '441', '78', '306', '902', '366', '399']
['496', '0', '269', '427', '622', '449', '842']
['607', '695', '742', '49', '197', '154', '733']
['94', '172', '529', '903', '743', '408', '85']
['228', '725', '823', '428', '803', '545', '908']
['125', '248', '407', '487', '836', '101', '802']
['604', '322', '706', '508', '535', '611', '205']
['82', '294', '6', '637']
['347', '837', '111', '234', '826', '173', '409']
['102', '84', '424', '70', '931', '667', '42']
['300', '671', '532', '312', '692', '325', '401']
['730', '381', '760', '917', '301', '40', '795']
['146', '568', '338', '7', '719', '630', '355']
