['47', '349', '846', '451', '249', '771', '699', '826', '628', '625']
['16', '144', '859', '205', '140', '958', '88', '169', '858', '941']
['508', '964', '263', '810', '435', '510', '336', '808', '866', '601']
['194', '49', '746', '833', '564', '322', '221', '294', '547', '200']
['779', '429', '797', '25', '150', '121', '381', '318', '474', '341']
['806', '326', '501', '285', '935', '154', '873', '425', '174', '51']
['73', '311', '618', '503', '620', '666', '832', '768', '22', '933']
['414', '701', '722', '452', '286', '738', '728', '23', '787', '741']
['30', '59', '720', '840', '693', '716', '394', '513', '335', '269']
['575', '277', '162', '829', '590', '654', '786', '449', '270', '170']
['423', '668', '295', '651', '885', '203', '478', '901', '682', '713']
['113', '444', '589', '822', '352', '112', '817', '461', '129', '914']
['109', '893', '138', '906', '345', '874', '576', '230', '524', '54']
['257', '155', '836', '719', '662', '785', '594', '172', '440', '548']
['308', '418', '310', '134', '614', '944', '148', '231', '522', '413']
['850', '365', '603', '793', '595', '224', '703', '541', '976', '176']
['183', '899', '293', '210', '790', '804', '89', '981', '405', '404']
['373', '841', '411', '137', '609', '315', '631', '835', '132', '251']
['117', '680', '184', '515', '346', '447', '85', '843', '342', '475']
['534', '433', '71', '729', '20', '986', '820', '35', '296', '725']
['568', '312', '118', '15', '385', '173', '276', '280', '206', '646']
['274', '412', '990', '237', '918', '837', '521', '655', '687', '347']
['376', '946', '44', '374', '535', '894', '523', '965', '708', '511']
['159', '660', '124', '301', '226', '731', '202', '898', '760', '891']
['266', '180', '386', '430', '704', '409', '561', '818', '141', '466']
['803', '685', '143', '967', '368', '659', '578', '839', '924', '215']
['72', '556', '763', '28', '406', '63', '60', '872', '61', '317']
['504', '471', '632', '402', '927', '658', '355', '213', '982', '426']
['419', '96', '152', '494', '80', '551', '105', '97', '943', '635']
['17', '481', '136', '602', '957', '377', '674', '323', '7', '709']
['577', '340', '851', '554', '207', '737', '273', '271', '897', '642']
['149', '567', '84', '1', '337', '678', '517', '702', '599', '135']
['598', '735', '369', '538', '714', '126', '500', '979', '775', '847']
['769', '537', '3', '256', '216', '151', '910', '707', '724', '382']
['31', '991', '916', '282', '950', '313', '81', '250', '252', '434']
['732', '26', '304', '470', '11', '974', '951', '223', '8', '871']
['706', '371', '99', '260', '750', '980', '942', '228', '904', '78']
['653', '792', '641', '615', '264', '683', '13', '247', '781', '902']
['4', '919', '773', '811', '723', '395', '455', '362', '177', '903']
['972', '363', '502', '82', '845', '758', '389', '380', '443', '485']
['853', '46', '188', '995', '427', '100', '800', '754', '438', '596']
['53', '973', '332', '392', '76', '812', '526', '499', '718', '553']
['968', '42', '116', '993', '160', '962', '166', '204', '243', '379']
