40
21
['136', '282']
['30', '228']
['614', '748']
['123', '580']
['1', '155']
['378', '741']
['460', '761']
['574', '588']
['82', '230']
['63', '372']
['170', '340']
['82', '240']
['32', '753']
['163', '316']
['480', '601']
['344', '473']
['479', '795']
['273', '352']
['15', '229']
['198', '537']
['170', '649']
['459', '696']
['258', '690']
['49', '349']
['588', '768']
['426', '794']
['210', '375']
['615', '766']
['197', '485']
['410', '621']
['282', '401']
['450', '623']
['224', '799']
['654', '785']
['305', '653']
['145', '792']
['137', '534']
['102', '180']
['710', '740']
['749', '792']
['254', '557']
['448', '636']
['80', '170']
['215', '223']
['93', '630']
['50', '474']
['378', '555']
['119', '565']
['309', '724']
['107', '464']
['468', '667']
['108', '551']
['555', '796']
['310', '612']
['178', '390']
['64', '618']
['401', '798']
['3', '476']
['791', '800']
['584', '705']
['110', '759']
['228', '744']
['74', '773']
['704', '740']
['325', '430']
['362', '625']
['123', '515']
['734', '772']
['301', '737']
['33', '257']
['287', '749']
['173', '224']
['326', '596']
['542', '699']
['356', '667']
['573', '756']
['347', '473']
['545', '644']
['108', '114']
['179', '694']
['30', '660']
['311', '799']
['69', '538']
['393', '634']
['74', '350']
['361', '713']
['121', '363']
['147', '768']
['241', '320']
['58', '74']
['56', '664']
['355', '506']
['540', '600']
['187', '512']
['24', '799']
['470', '671']
['85', '434']
['27', '192']
['227', '537']
['35', '199']
['313', '325']
['516', '743']
['244', '382']
['90', '189']
['26', '315']
['308', '367']
['446', '674']
['453', '570']
['474', '662']
['183', '267']
['101', '737']
['25', '120']
['261', '570']
['117', '202']
['459', '545']
['51', '716']
['93', '519']
['621', '667']
['67', '144']
['187', '456']
['230', '474']
['227', '382']
['223', '597']
['58', '729']
['428', '691']
['247', '495']
['263', '526']
['588', '763']
['597', '660']
['284', '654']
['284', '751']
['281', '324']
['52', '601']
['527', '530']
['343', '680']
['303', '395']
['85', '91']
['695', '758']
['410', '540']
['149', '307']
['218', '409']
['433', '608']
['344', '541']
['10', '633']
['701', '757']
['118', '377']
['50', '501']
['259', '347']
['260', '664']
['124', '203']
['501', '774']
['551', '579']
['41', '85']
['405', '481']
['282', '693']
['49', '304']
['235', '725']
['307', '317']
['173', '510']
['99', '174']
['183', '372']
['114', '763']
['439', '490']
['150', '628']
['143', '204']
['191', '409']
['38', '728']
['119', '342']
['449', '785']
['379', '731']
['194', '434']
['175', '557']
['329', '604']
['185', '247']
['272', '603']
['27', '786']
['500', '563']
['465', '689']
['106', '790']
['267', '456']
['148', '798']
['41', '254']
['377', '761']
['631', '680']
['199', '758']
['171', '526']
['336', '433']
['30', '479']
['391', '398']
['485', '770']
['26', '175']
['223', '769']
['100', '669']
['524', '720']
['116', '364']
['465', '680']
['71', '527']
['383', '796']
['229', '381']
['100', '577']
['7', '645']
['184', '222']
['279', '679']
['363', '604']
['106', '770']
['216', '766']
['367', '679']
['178', '731']
['246', '339']
['15', '512']
['186', '192']
['318', '793']
['115', '226']
['330', '590']
['342', '585']
['141', '172']
['389', '762']
['61', '194']
['502', '518']
['192', '306']
['52', '527']
['357', '480']
['205', '668']
['408', '721']
['605', '797']
['315', '557']
['95', '548']
['144', '611']
['2', '76']
['198', '654']
['304', '769']
['75', '97']
['624', '702']
['728', '797']
['180', '459']
['46', '672']
['412', '567']
['37', '225']
['72', '450']
['394', '746']
['437', '586']
['526', '619']
['414', '550']
['360', '399']
['106', '643']
['363', '528']
['16', '438']
['468', '601']
['146', '405']
['74', '251']
['368', '620']
['144', '380']
['75', '163']
['288', '520']
['109', '235']
['241', '333']
['260', '641']
['537', '563']
['170', '564']
['62', '254']
['375', '565']
['89', '101']
['393', '616']
['557', '712']
['170', '199']
['35', '71']
['127', '176']
['2', '24']
['527', '762']
['69', '414']
['245', '513']
['419', '685']
['377', '469']
['437', '581']
['158', '442']
['270', '337']
['14', '257']
['236', '629']
['45', '778']
['374', '504']
['396', '525']
['384', '787']
['389', '483']
['282', '552']
['186', '520']
['47', '673']
['751', '774']
['272', '746']
['79', '168']
['68', '613']
['115', '129']
['132', '474']
['312', '788']
['23', '129']
['172', '215']
['478', '623']
['229', '545']
['508', '627']
['305', '754']
['185', '491']
['472', '644']
['38', '196']
['391', '634']
['367', '797']
['241', '366']
['374', '705']
['42', '369']
['183', '414']
['85', '713']
['609', '749']
['106', '496']
['44', '602']
['47', '138']
['660', '717']
['153', '613']
['52', '742']
['546', '631']
['391', '719']
['129', '348']
['11', '480']
['264', '284']
['120', '586']
['78', '266']
['472', '509']
['576', '715']
['405', '431']
['38', '547']
['164', '197']
['36', '752']
['50', '132']
['106', '635']
['522', '796']
['333', '348']
['186', '407']
['195', '570']
['91', '750']
['241', '684']
['78', '719']
['428', '724']
['225', '492']
['453', '543']
['76', '780']
['14', '395']
['69', '588']
['424', '535']
['356', '747']
['79', '545']
['171', '562']
['69', '410']
['508', '747']
['320', '378']
['149', '455']
['517', '595']
['92', '222']
['284', '626']
['511', '648']
['372', '728']
['60', '384']
['127', '651']
['67', '338']
['138', '275']
['35', '73']
['220', '364']
['44', '590']
['569', '606']
['175', '689']
['380', '688']
['157', '710']
['450', '793']
['307', '712']
['49', '326']
['19', '496']
['155', '162']
['130', '402']
['286', '681']
['465', '704']
['476', '681']
['39', '134']
['334', '487']
['560', '648']
['40', '215']
['57', '716']
['128', '502']
['756', '757']
['282', '541']
['90', '483']
['19', '225']
['166', '276']
['177', '749']
['170', '711']
['242', '679']
['525', '630']
['383', '717']
['329', '780']
['130', '393']
['200', '415']
['653', '721']
['137', '706']
['264', '314']
['199', '791']
['428', '451']
['144', '539']
['155', '747']
['131', '640']
['80', '230']
['92', '574']
['41', '480']
['183', '709']
['418', '484']
['537', '597']
['670', '752']
['407', '611']
['137', '580']
['317', '487']
['505', '538']
['268', '520']
['125', '209']
['313', '492']
['91', '583']
['298', '722']
['57', '757']
['557', '634']
['510', '571']
['136', '785']
['141', '480']
['599', '764']
['191', '503']
['341', '378']
['412', '511']
['26', '375']
['475', '646']
['35', '394']
['575', '581']
['94', '751']
['375', '787']
['112', '713']
['133', '786']
['256', '742']
['223', '479']
['563', '721']
['129', '233']
['597', '618']
['209', '255']
['438', '588']
['134', '777']
['18', '235']
['622', '719']
['160', '341']
['178', '309']
['69', '796']
['195', '348']
['339', '415']
['640', '687']
['132', '609']
['97', '268']
['420', '781']
['328', '535']
['53', '503']
['52', '234']
['655', '780']
['50', '414']
['329', '787']
['478', '614']
['220', '250']
['480', '564']
['88', '121']
['187', '588']
['283', '371']
['229', '409']
['190', '359']
['263', '512']
['364', '606']
['370', '526']
['336', '443']
['483', '558']
['140', '650']
['135', '300']
['620', '628']
['378', '458']
['399', '544']
['184', '537']
['511', '646']
['398', '669']
['152', '521']
['145', '567']
['172', '481']
['93', '573']
['291', '350']
['49', '659']
['86', '711']
['706', '712']
['494', '794']
['59', '638']
['400', '515']
['692', '706']
['420', '577']
['37', '144']
['243', '668']
['394', '608']
['259', '746']
['379', '642']
['772', '777']
['265', '696']
['208', '711']
['118', '264']
['70', '518']
['158', '437']
['164', '700']
['204', '331']
['232', '430']
['537', '668']
['447', '638']
['377', '609']
['451', '518']
['29', '309']
['237', '435']
['139', '357']
['99', '524']
['21', '426']
['318', '609']
['143', '626']
['298', '387']
['348', '724']
['2', '382']
['220', '544']
['412', '654']
['58', '711']
['18', '381']
['352', '680']
['397', '477']
['602', '710']
['412', '436']
['256', '604']
['639', '667']
['59', '772']
['412', '750']
['137', '779']
['30', '496']
['254', '495']
['62', '217']
['311', '329']
['82', '528']
['53', '654']
['213', '779']
['218', '463']
['233', '783']
['13', '793']
['321', '377']
['118', '167']
['132', '562']
['172', '283']
['35', '569']
['481', '727']
['102', '560']
['202', '359']
['330', '733']
['85', '271']
['555', '783']
['202', '603']
['70', '104']
['566', '759']
['299', '440']
['350', '667']
['518', '736']
['599', '620']
['136', '447']
['68', '566']
['136', '676']
['40', '509']
['637', '727']
['203', '326']
['586', '689']
['228', '767']
['40', '76']
['429', '680']
['41', '228']
['30', '663']
['133', '210']
['339', '361']
['292', '696']
['120', '582']
['239', '243']
['120', '746']
['34', '607']
['407', '717']
['344', '490']
['23', '393']
['168', '334']
['362', '542']
['49', '740']
['400', '435']
['182', '407']
['228', '338']
['546', '787']
['195', '603']
['462', '772']
['600', '675']
['542', '631']
['228', '297']
['566', '618']
['267', '627']
['445', '753']
['345', '746']
['160', '367']
['330', '661']
['191', '733']
['290', '478']
['125', '774']
['211', '311']
['479', '553']
['126', '506']
['360', '615']
['584', '684']
['320', '662']
['46', '318']
['108', '422']
['314', '602']
['152', '626']
['463', '534']
['599', '600']
['76', '631']
['70', '283']
['333', '582']
['110', '782']
['615', '621']
['181', '602']
['780', '792']
['182', '646']
['110', '794']
['52', '164']
['527', '542']
['146', '147']
['20', '553']
['280', '424']
['127', '148']
['26', '30']
['70', '772']
['174', '604']
['688', '719']
['198', '300']
['46', '526']
['20', '645']
['67', '178']
['59', '230']
['330', '520']
['49', '781']
['556', '686']
['423', '662']
