23
23
['0', '23', '380', '446', '148', '10', '195', '377', '428', '86', '507', '526', '486', '45', '91', '58', '12', '353', '88', '136', '35', '189', '205']
['0', '24', '120', '158', '59', '437', '73', '404', '88', '434', '202', '289', '454', '35', '345', '353', '60', '75', '217', '312', '342', '379', '122']
['0', '25', '91', '322', '289', '63', '262', '286', '86', '44', '443', '58', '230', '485', '395', '197', '179', '161', '362', '101', '30', '154', '369']
['0', '26', '245', '199', '390', '339', '327', '511', '167', '376', '160', '25', '197', '460', '431', '513', '183', '402', '55', '206', '409', '88', '293']
['0', '27', '41', '521', '390', '178', '78', '353', '91', '404', '29', '189', '286', '88', '486', '114', '15', '152', '422', '315', '12', '113', '396']
['0', '28', '12', '146', '370', '58', '468', '230', '132', '90', '223', '237', '7', '43', '317', '172', '308', '288', '402', '119', '419', '34', '248']
['0', '29', '270', '163', '200', '47', '262', '355', '473', '311', '22', '63', '136', '43', '5', '257', '191', '85', '364', '162', '248', '212', '252']
['0', '30', '432', '307', '400', '417', '94', '391', '225', '461', '274', '419', '526', '159', '187', '499', '226', '277', '284', '332', '147', '57', '393']
['0', '31', '288', '460', '232', '431', '499', '126', '197', '244', '111', '444', '342', '359', '51', '214', '147', '375', '519', '49', '134', '344', '70']
['0', '32', '226', '43', '515', '50', '82', '172', '405', '345', '8', '346', '81', '351', '9', '210', '461', '486', '364', '255', '180', '42', '447']
['0', '33', '322', '246', '127', '185', '203', '288', '454', '220', '271', '38', '310', '527', '416', '182', '225', '315', '496', '150', '64', '204', '156']
['0', '34', '129', '169', '489', '163', '222', '106', '323', '173', '447', '378', '443', '513', '438', '475', '91', '387', '241', '233', '375', '257', '99']
['0', '35', '357', '501', '473', '242', '217', '126', '318', '10', '452', '437', '211', '510', '205', '237', '55', '75', '136', '394', '257', '258', '142']
['0', '36', '253', '465', '322', '472', '445', '104', '168', '402', '426', '504', '175', '88', '363', '331', '177', '358', '233', '451', '464', '66', '432']
['0', '37', '301', '96', '81', '55', '311', '342', '32', '498', '25', '445', '179', '297', '401', '334', '416', '527', '420', '257', '368', '477', '208']
['0', '38', '233', '72', '210', '289', '301', '333', '67', '489', '178', '402', '111', '252', '87', '390', '378', '215', '109', '183', '81', '52', '418']
['0', '39', '356', '209', '306', '397', '163', '404', '232', '74', '153', '452', '329', '257', '118', '235', '384', '372', '301', '293', '336', '416', '16']
['0', '40', '231', '227', '495', '16', '366', '354', '22', '405', '461', '195', '79', '13', '320', '37', '358', '39', '363', '71', '74', '266', '61']
['0', '41', '188', '367', '369', '444', '412', '324', '122', '66', '24', '104', '57', '518', '285', '13', '225', '235', '40', '358', '479', '103', '62']
['0', '42', '153', '106', '194', '523', '474', '45', '278', '149', '176', '227', '70', '179', '200', '358', '124', '234', '431', '360', '301', '417', '490']
['0', '43', '481', '119', '32', '413', '218', '434', '521', '410', '262', '449', '200', '198', '338', '221', '271', '53', '319', '401', '347', '237', '380']
['0', '44', '32', '99', '243', '136', '379', '344', '222', '174', '357', '393', '113', '67', '14', '172', '305', '311', '487', '349', '512', '347', '106']
['0', '45', '146', '62', '24', '239', '324', '122', '454', '479', '7', '132', '474', '44', '289', '417', '73', '157', '16', '266', '276', '440', '248']
['0', '46', '227', '18', '424', '518', '188', '152', '19', '142', '349', '303', '207', '61', '149', '438', '416', '235', '215', '120', '164', '254', '380']
['0', '47', '219', '443', '42', '253', '528', '113', '498', '267', '18', '212', '110', '156', '276', '196', '120', '425', '494', '324', '355', '6', '153']
['0', '48', '176', '277', '484', '332', '142', '464', '180', '295', '514', '197', '359', '333', '128', '200', '265', '89', '445', '317', '53', '527', '236']
['0', '49', '159', '314', '360', '427', '382', '365', '445', '156', '450', '387', '380', '78', '79', '106', '90', '389', '6', '172', '446', '398', '240']
['0', '50', '378', '35', '374', '426', '177', '153', '137', '438', '363', '39', '235', '268', '346', '491', '414', '256', '26', '435', '490', '90', '105']
['0', '51', '414', '5', '193', '156', '132', '18', '157', '154', '307', '377', '87', '96', '374', '488', '384', '120', '43', '155', '125', '402', '304']
['0', '52', '66', '94', '109', '406', '402', '219', '474', '182', '1', '447', '271', '18', '7', '172', '432', '327', '14', '442', '494', '32', '258']
['0', '53', '1', '461', '222', '8', '233', '64', '197', '170', '259', '346', '206', '19', '525', '283', '271', '288', '160', '498', '415', '429', '404']
['0', '54', '267', '101', '419', '313', '233', '65', '61', '78', '410', '49', '470', '420', '314', '524', '185', '234', '509', '124', '388', '168', '145']
['0', '55', '72', '163', '143', '496', '170', '113', '391', '510', '263', '453', '384', '5', '119', '160', '107', '475', '13', '87', '489', '142', '65']
['0', '56', '214', '187', '171', '370', '192', '250', '278', '400', '458', '414', '366', '476', '408', '1', '392', '135', '448', '295', '455', '15', '513']
['0', '57', '87', '185', '377', '362', '85', '389', '203', '252', '150', '53', '151', '81', '290', '331', '194', '63', '154', '506', '99', '317', '287']
['0', '58', '290', '280', '193', '292', '192', '198', '73', '131', '121', '433', '371', '240', '114', '418', '364', '415', '291', '18', '463', '385', '250']
['0', '59', '354', '11', '424', '163', '233', '87', '466', '178', '527', '464', '62', '263', '206', '53', '190', '180', '228', '139', '449', '282', '131']
['0', '60', '265', '65', '446', '330', '385', '263', '215', '255', '106', '518', '137', '503', '28', '466', '323', '279', '403', '460', '96', '97', '187']
['0', '61', '510', '17', '151', '458', '223', '77', '93', '287', '421', '459', '266', '517', '368', '255', '406', '308', '490', '268', '159', '171', '24']
['0', '62', '18', '466', '511', '486', '385', '344', '36', '296', '176', '493', '347', '121', '201', '85', '48', '154', '248', '356', '319', '452', '440']
['0', '63', '525', '506', '242', '400', '505', '432', '325', '311', '441', '479', '466', '148', '74', '145', '8', '478', '89', '193', '123', '485', '303']
['0', '64', '68', '450', '76', '394', '392', '157', '98', '228', '107', '57', '29', '463', '152', '319', '18', '54', '131', '451', '201', '85', '267']
['0', '65', '185', '507', '404', '426', '286', '75', '1', '85', '492', '457', '162', '408', '192', '114', '148', '480', '311', '132', '444', '40', '335']
['0', '66', '262', '208', '422', '429', '497', '216', '106', '524', '384', '239', '420', '477', '149', '473', '224', '499', '381', '249', '233', '324', '414']
['0', '67', '57', '117', '61', '81', '362', '255', '109', '456', '108', '76', '470', '347', '106', '22', '121', '329', '184', '316', '34', '389', '112']
['0', '68', '95', '8', '18', '408', '286', '523', '513', '155', '224', '3', '264', '439', '494', '226', '23', '518', '487', '303', '328', '476', '153']
['0', '69', '228', '43', '419', '432', '222', '490', '335', '466', '92', '497', '348', '267', '168', '35', '7', '167', '353', '23', '183', '418', '448']
['0', '70', '288', '327', '142', '368', '331', '145', '3', '46', '414', '88', '211', '241', '150', '382', '397', '146', '222', '201', '505', '405', '43']
['0', '71', '400', '460', '481', '503', '516', '162', '408', '10', '231', '103', '321', '498', '450', '136', '4', '189', '315', '528', '149', '279', '396']
