50
20
['54', '87', '89']
['2', '95', '6']
['1', '27', '18']
['2', '58', '9']
['60', '84', '41']
['76', '18', '38']
['58', '65', '87']
['30', '85', '77']
['91', '40', '48']
['40', '13', '11']
['50', '95', '16']
['17', '68', '54']
['71', '79', '91']
['97', '92', '67']
['14', '27', '75']
['6', '91', '69']
['4', '71', '49']
['84', '71', '80']
['59', '71', '89']
['100', '4', '35']
['2', '6', '63']
['66', '87', '30']
['41', '23', '54']
['19', '4', '23']
['32', '8', '49']
['16', '82', '90']
['97', '5', '66']
['69', '23', '10']
['7', '39', '79']
['71', '96', '77']
['41', '73', '2']
['2', '37', '4']
['7', '27', '99']
['67', '74', '5']
['93', '88', '2']
['41', '79', '72']
['61', '76', '96']
['38', '10', '34']
['1', '100', '97']
['24', '13', '88']
['23', '66', '59']
['34', '14', '49']
['34', '51', '16']
['62', '61', '2']
['9', '23', '61']
['76', '59', '93']
['2', '86', '61']
['24', '1', '25']
['78', '75', '24']
['95', '41', '35']
['50', '51', '88']
['86', '58', '26']
['29', '35', '38']
['57', '79', '45']
['72', '76', '54']
['26', '72', '10']
['13', '7', '25']
['69', '60', '76']
['74', '63', '64']
['93', '40', '44']
['73', '64', '89']
['27', '67', '59']
['84', '2', '74']
['42', '75', '7']
['52', '78', '10']
['33', '13', '68']
['25', '52', '74']
['92', '79', '38']
['15', '30', '36']
['66', '18', '30']
['36', '37', '5']
['62', '26', '94']
['91', '93', '79']
['11', '89', '40']
['62', '67', '31']
['33', '17', '99']
['64', '76', '18']
['37', '20', '32']
['72', '28', '7']
['100', '24', '77']
['87', '51', '22']
['65', '74', '100']
['72', '5', '35']
['61', '97', '99']
['75', '77', '4']
['8', '68', '37']
['90', '98', '15']
['79', '57', '90']
['58', '10', '82']
['45', '26', '69']
['56', '64', '72']
['24', '12', '9']
['10', '50', '1']
['17', '73', '79']
['67', '86', '32']
['83', '31', '50']
['32', '66', '69']
['43', '50', '81']
['6', '67', '14']
['61', '19', '59']
['55', '12', '83']
['24', '63', '23']
['9', '33', '67']
['64', '60', '74']
['9', '36', '96']
['77', '91', '78']
['42', '87', '28']
['92', '60', '24']
['83', '77', '35']
['83', '1', '55']
['96', '92', '25']
['97', '72', '23']
['72', '64', '11']
['98', '66', '97']
['100', '42', '93']
['32', '22', '86']
['93', '54', '63']
['88', '36', '67']
['29', '95', '68']
['4', '59', '6']
['80', '8', '94']
['2', '26', '57']
['66', '36', '37']
['51', '12', '17']
['53', '97', '84']
['54', '51', '66']
['75', '59', '45']
['67', '46', '32']
['54', '19', '78']
['78', '84', '7']
['83', '25', '96']
['49', '56', '90']
['98', '54', '64']
['83', '100', '86']
['62', '27', '87']
['54', '58', '9']
['98', '5', '40']
['44', '21', '42']
['82', '71', '19']
['15', '5', '33']
['75', '76', '1']
['89', '71', '39']
['53', '72', '1']
['5', '58', '77']
['29', '41', '69']
['12', '97', '87']
['89', '91', '8']
['44', '78', '60']
['57', '22', '11']
['36', '21', '66']
['53', '80', '46']
['30', '42', '89']
['76', '54', '39']
['68', '44', '7']
['7', '100', '32']
['31', '47', '16']
['72', '41', '19']
['73', '91', '57']
['23', '17', '44']
['20', '19', '56']
['98', '82', '37']
['51', '1', '50']
['23', '94', '44']
['5', '96', '21']
['15', '40', '19']
['18', '87', '94']
['98', '11', '19']
['86', '51', '97']
['59', '9', '72']
['64', '48', '85']
['16', '77', '94']
['39', '43', '33']
['7', '25', '3']
['86', '5', '14']
['39', '77', '57']
['82', '69', '16']
['4', '16', '39']
['8', '49', '94']
['38', '51', '40']
['84', '56', '87']
['48', '24', '26']
['85', '9', '90']
['63', '91', '98']
['59', '58', '41']
['7', '37', '81']
['14', '7', '17']
['91', '94', '51']
['88', '84', '65']
['82', '7', '85']
['19', '98', '64']
['5', '52', '9']
['12', '27', '17']
['46', '6', '42']
['36', '47', '55']
['44', '79', '99']
['20', '83', '56']
['47', '65', '74']
['15', '57', '79']
['48', '43', '59']
['100', '36', '77']
['78', '91', '54']
['90', '9', '87']
['60', '64', '44']
['12', '51', '32']
['25', '56', '24']
['24', '89', '32']
['6', '57', '50']
['71', '82', '52']
['1', '6', '43']
['85', '66', '24']
['81', '53', '41']
['86', '2', '17']
['18', '5', '2']
['14', '34', '50']
['16', '34', '43']
['74', '61', '43']
['84', '45', '95']
['54', '80', '6']
['18', '85', '41']
['89', '10', '31']
['57', '99', '82']
['72', '15', '37']
['44', '84', '30']
['78', '27', '49']
['73', '71', '70']
['41', '28', '89']
['10', '22', '94']
['17', '64', '78']
['27', '22', '6']
['56', '30', '74']
['25', '59', '19']
['38', '25', '35']
['79', '11', '22']
['36', '83', '20']
['82', '32', '22']
['38', '15', '23']
['59', '5', '40']
['45', '96', '32']
['98', '39', '54']
['78', '66', '26']
['55', '16', '35']
['34', '59', '1']
['98', '75', '20']
['87', '81', '47']
['13', '51', '85']
['63', '87', '56']
['84', '13', '60']
['11', '33', '39']
['6', '68', '50']
['54', '64', '97']
['57', '10', '87']
['13', '45', '20']
['93', '91', '63']
['11', '15', '77']
['68', '56', '7']
['100', '93', '82']
['50', '44', '59']
['97', '20', '72']
['23', '84', '3']
['42', '16', '48']
['77', '78', '47']
['70', '21', '52']
['17', '7', '28']
['51', '16', '12']
['36', '95', '30']
['25', '71', '41']
['25', '21', '40']
['60', '90', '84']
['40', '63', '27']
['77', '45', '17']
['27', '88', '81']
['7', '65', '95']
['68', '27', '46']
['41', '39', '90']
['49', '56', '95']
['41', '69', '16']
['37', '46', '26']
['1', '43', '100']
['85', '32', '21']
['51', '88', '69']
['46', '38', '35']
['43', '46', '31']
['41', '54', '46']
['16', '76', '71']
['79', '92', '24']
['94', '74', '30']
['18', '77', '16']
['89', '91', '84']
['92', '69', '44']
['40', '23', '47']
['6', '47', '82']
['87', '10', '85']
['15', '97', '49']
['51', '54', '48']
['46', '96', '93']
['4', '11', '21']
['17', '51', '70']
['79', '38', '24']
['41', '39', '99']
['14', '65', '77']
['38', '34', '99']
['89', '86', '84']
['9', '85', '48']
['69', '35', '9']
['3', '32', '34']
['54', '39', '45']
['42', '69', '61']
['30', '70', '66']
['36', '96', '64']
['83', '54', '34']
['46', '13', '81']
['50', '11', '12']
['91', '48', '46']
['14', '48', '33']
['58', '90', '51']
['33', '84', '12']
['80', '89', '55']
['46', '6', '31']
['12', '70', '4']
['45', '48', '74']
['80', '15', '22']
['29', '43', '39']
['51', '20', '16']
['2', '81', '79']
['29', '62', '16']
['52', '89', '47']
['98', '69', '5']
['49', '55', '5']
['33', '42', '8']
['4', '60', '72']
['83', '87', '57']
['60', '30', '96']
['45', '85', '29']
['90', '71', '100']
['52', '14', '67']
['1', '74', '6']
['60', '73', '87']
['14', '21', '8']
['91', '65', '70']
['17', '87', '20']
['62', '28', '18']
['56', '17', '61']
['39', '70', '63']
['93', '85', '77']
['18', '83', '64']
['50', '51', '9']
['80', '50', '83']
['92', '19', '34']
['52', '82', '40']
['12', '91', '27']
['4', '42', '79']
['32', '7', '82']
['41', '61', '14']
['20', '64', '39']
['72', '44', '96']
['31', '9', '91']
['45', '62', '89']
['95', '53', '45']
['84', '2', '88']
['72', '75', '32']
['68', '48', '60']
['38', '72', '20']
['68', '2', '9']
['46', '90', '2']
['39', '3', '47']
['30', '73', '37']
['84', '96', '97']
['84', '43', '96']
['43', '85', '2']
['24', '94', '4']
['35', '18', '4']
['27', '32', '39']
['49', '85', '22']
['99', '91', '6']
['76', '30', '2']
['93', '53', '73']
['34', '19', '77']
['11', '52', '7']
['49', '93', '41']
['82', '69', '50']
['38', '41', '57']
['86', '22', '15']
['66', '39', '62']
['21', '88', '50']
['28', '70', '84']
['28', '67', '52']
['48', '95', '32']
['35', '43', '65']
['51', '85', '48']
['15', '93', '100']
['85', '57', '89']
['39', '94', '75']
['83', '11', '46']
['42', '36', '14']
['49', '97', '23']
['60', '71', '78']
['53', '62', '96']
['91', '94', '4']
['3', '20', '30']
['17', '79', '93']
['62', '41', '58']
['24', '90', '91']
['16', '83', '89']
['19', '87', '4']
['78', '81', '12']
['71', '98', '18']
['24', '33', '16']
['53', '56', '97']
['34', '63', '90']
['100', '11', '45']
['60', '16', '62']
['20', '7', '56']
['86', '94', '7']
['92', '99', '49']
['66', '4', '94']
['79', '93', '51']
['54', '91', '51']
['23', '100', '48']
['88', '68', '65']
['26', '90', '12']
['71', '24', '67']
['12', '7', '82']
['42', '59', '24']
['47', '70', '21']
['8', '40', '11']
['1', '59', '82']
['25', '54', '80']
['72', '62', '17']
['16', '26', '20']
['30', '53', '29']
['31', '36', '48']
['37', '33', '13']
['17', '24', '81']
['84', '38', '73']
['35', '63', '24']
['94', '56', '85']
['28', '39', '58']
['28', '79', '67']
['7', '100', '27']
['21', '29', '43']
['19', '47', '4']
['91', '46', '13']
['44', '37', '27']
['4', '22', '59']
['77', '31', '4']
['67', '94', '37']
['4', '88', '34']
['17', '18', '65']
['35', '69', '20']
['75', '49', '88']
['78', '32', '7']
['30', '36', '20']
['80', '89', '82']
['81', '34', '97']
['9', '15', '77']
['12', '98', '38']
['21', '85', '13']
['84', '25', '44']
