40
35
['515', '563', '777', '832', '845']
['232', '269', '505', '750', '971']
['54', '84', '484', '700', '801']
['148', '304', '415', '670', '710']
['66', '118', '126', '139', '595']
['232', '415', '750', '832', '845']
['84', '139', '700', '777', '971']
['54', '304', '484', '595', '710']
['66', '118', '126', '269', '563']
['148', '505', '515', '670', '801']
['66', '139', '148', '232', '670']
['84', '505', '710', '845', '971']
['269', '415', '484', '563', '750']
['54', '304', '777', '801', '832']
['118', '126', '515', '595', '700']
['313', '330', '463', '541', '612']
['193', '247', '300', '363', '428']
['116', '281', '307', '405', '683']
['6', '212', '714', '732', '860']
['73', '288', '412', '535', '817']
['363', '405', '428', '612', '817']
['313', '330', '412', '463', '732']
['6', '212', '281', '541', '860']
['116', '193', '288', '307', '683']
['73', '247', '300', '535', '714']
['6', '73', '288', '330', '860']
['247', '281', '307', '683', '817']
['193', '363', '405', '541', '732']
['116', '212', '428', '463', '612']
['300', '313', '412', '535', '714']
['223', '290', '409', '536', '961']
['329', '379', '545', '678', '959']
['53', '317', '588', '606', '753']
['166', '296', '455', '846', '895']
['113', '476', '730', '838', '949']
['476', '536', '545', '730', '961']
['53', '223', '296', '455', '678']
['290', '317', '379', '895', '959']
['329', '409', '588', '753', '949']
['113', '166', '606', '838', '846']
['166', '455', '588', '753', '959']
['113', '290', '379', '895', '949']
['223', '329', '409', '606', '961']
['296', '317', '536', '838', '846']
['53', '476', '545', '678', '730']
['106', '174', '202', '727', '814']
['263', '311', '348', '459', '948']
['452', '574', '782', '849', '960']
['143', '289', '387', '709', '752']
['4', '576', '711', '770', '982']
['4', '348', '387', '709', '782']
['202', '311', '849', '960', '982']
['263', '711', '727', '752', '948']
['106', '289', '576', '770', '814']
['143', '174', '452', '459', '574']
['311', '452', '574', '576', '711']
['143', '289', '752', '849', '960']
['106', '459', '709', '948', '982']
['174', '202', '263', '348', '387']
['4', '727', '770', '782', '814']
['135', '500', '617', '741', '934']
['114', '399', '864', '943', '995']
['254', '351', '359', '382', '715']
['44', '582', '733', '844', '973']
['89', '173', '277', '454', '902']
['135', '382', '399', '500', '902']
['44', '254', '582', '943', '995']
['114', '359', '715', '864', '973']
['173', '733', '741', '844', '934']
['89', '277', '351', '454', '617']
['277', '359', '382', '741', '995']
['114', '254', '351', '454', '864']
['500', '617', '715', '934', '973']
['44', '135', '582', '733', '943']
['89', '173', '399', '844', '902']
['152', '262', '362', '648', '825']
['91', '123', '161', '507', '655']
['478', '641', '676', '795', '858']
['543', '665', '929', '937', '985']
['343', '437', '603', '658', '692']
['152', '543', '648', '825', '985']
['91', '437', '692', '795', '858']
['123', '262', '655', '676', '937']
['478', '507', '603', '641', '658']
['161', '343', '362', '665', '929']
['91', '603', '641', '655', '985']
['123', '362', '676', '825', '929']
['343', '478', '507', '543', '658']
['161', '437', '648', '858', '937']
['152', '262', '665', '692', '795']
['15', '48', '119', '626', '957']
['381', '400', '403', '448', '651']
['36', '414', '456', '633', '876']
['69', '298', '490', '761', '763']
['331', '485', '526', '916', '927']
['36', '69', '331', '403', '651']
['15', '414', '490', '526', '626']
['48', '298', '448', '485', '916']
['381', '456', '763', '927', '957']
['119', '400', '633', '761', '876']
['119', '298', '456', '633', '927']
['48', '331', '400', '876', '957']
['69', '448', '761', '763', '916']
['381', '403', '414', '526', '651']
['15', '36', '485', '490', '626']
['93', '219', '702', '789', '790']
['384', '419', '489', '743', '827']
['388', '401', '821', '824', '833']
['85', '181', '392', '520', '818']
['38', '326', '583', '731', '988']
['38', '731', '743', '818', '821']
['85', '181', '392', '520', '789']
['93', '219', '824', '827', '833']
['326', '401', '419', '583', '702']
['384', '388', '489', '790', '988']
['326', '384', '401', '419', '824']
['38', '583', '702', '818', '988']
['85', '219', '388', '731', '789']
['489', '790', '821', '827', '833']
['93', '181', '392', '520', '743']
['55', '336', '584', '852', '939']
['305', '449', '501', '512', '579']
['227', '270', '424', '866', '879']
['156', '183', '253', '502', '669']
['76', '90', '197', '556', '901']
['156', '197', '253', '584', '879']
['55', '76', '270', '501', '556']
['227', '502', '579', '669', '852']
['183', '424', '449', '866', '939']
['90', '305', '336', '512', '901']
['90', '305', '501', '512', '879']
['156', '270', '556', '866', '901']
['76', '183', '227', '502', '939']
['55', '197', '424', '584', '852']
['253', '336', '449', '579', '669']
['0', '488', '577', '900', '963']
['346', '465', '587', '868', '898']
['51', '72', '759', '837', '853']
['306', '426', '461', '572', '806']
['345', '372', '480', '729', '848']
['306', '346', '372', '759', '898']
['345', '465', '837', '868', '963']
['51', '72', '480', '572', '853']
['0', '461', '577', '587', '900']
['426', '488', '729', '806', '848']
['306', '480', '729', '837', '853']
['346', '426', '461', '806', '898']
['51', '72', '465', '759', '900']
['0', '372', '587', '848', '963']
['345', '488', '572', '577', '868']
['43', '56', '60', '157', '184']
['110', '367', '514', '887', '968']
['17', '182', '222', '374', '472']
['265', '287', '357', '693', '696']
['97', '221', '496', '933', '978']
['56', '97', '472', '887', '978']
['17', '287', '496', '514', '696']
['43', '265', '357', '693', '968']
['110', '157', '182', '222', '367']
['60', '184', '221', '374', '933']
['56', '287', '472', '514', '693']
['43', '97', '110', '221', '696']
['17', '60', '157', '222', '978']
['182', '357', '367', '496', '968']
['184', '265', '374', '887', '933']
['261', '410', '623', '629', '882']
['260', '749', '840', '851', '947']
['397', '625', '722', '842', '897']
['95', '249', '308', '830', '875']
['49', '188', '203', '301', '813']
['188', '301', '722', '897', '947']
['49', '203', '397', '625', '830']
['95', '308', '840', '842', '851']
['261', '410', '629', '813', '875']
['249', '260', '623', '749', '882']
['623', '830', '840', '882', '897']
