25
40
['399', '972']
['78', '784']
['314', '721']
['285', '41']
['298', '396']
['306', '578']
['483', '880']
['260', '699']
['293', '732']
['793', '841']
['956', '970']
['474', '81']
['33', '826']
['3', '675']
['809', '920']
['624', '950']
['251', '408']
['216', '361']
['357', '873']
['187', '560']
['313', '509']
['170', '29']
['185', '585']
['160', '233']
['548', '985']
['405', '562']
['29', '761']
['639', '84']
['395', '719']
['665', '800']
['500', '828']
['254', '356']
['872', '967']
['463', '70']
['568', '611']
['136', '182']
['463', '968']
['50', '737']
['221', '48']
['109', '872']
['602', '616']
['402', '678']
['613', '777']
['201', '943']
['150', '648']
['176', '366']
['23', '458']
['215', '518']
['280', '467']
['270', '722']
['237', '61']
['16', '439']
['600', '634']
['226', '590']
['36', '652']
['203', '436']
['624', '673']
['623', '989']
['603', '86']
['797', '947']
['676', '831']
['227', '453']
['393', '853']
['189', '790']
['517', '553']
['393', '487']
['234', '762']
['259', '663']
['343', '955']
['866', '922']
['267', '634']
['949', '961']
['665', '780']
['268', '569']
['102', '973']
['145', '932']
['152', '963']
['294', '297']
['7', '724']
['606', '777']
['150', '756']
['514', '887']
['287', '683']
['168', '901']
['355', '413']
['413', '514']
['255', '832']
['604', '821']
['249', '658']
['287', '822']
['824', '918']
['181', '575']
['144', '667']
['830', '991']
['874', '899']
['615', '775']
['631', '634']
['150', '738']
['311', '828']
['322', '402']
['991', '998']
['315', '842']
['532', '725']
['572', '873']
['14', '355']
['713', '730']
['563', '574']
['157', '869']
['489', '934']
['371', '547']
['288', '675']
['112', '403']
['470', '599']
['206', '99']
['319', '976']
['486', '789']
['305', '863']
['107', '413']
['455', '457']
['467', '947']
['145', '202']
['237', '552']
['172', '461']
['272', '872']
['127', '259']
['15', '497']
['642', '891']
['141', '527']
['398', '415']
['104', '121']
['751', '867']
['123', '508']
['269', '495']
['103', '966']
['210', '353']
['435', '686']
['626', '847']
['195', '665']
['179', '532']
['189', '760']
['289', '390']
['4', '494']
['111', '982']
['316', '833']
['759', '927']
['266', '91']
['209', '972']
['314', '839']
['57', '602']
['450', '992']
['252', '594']
['51', '517']
['150', '951']
['200', '929']
['280', '696']
['150', '661']
['347', '471']
['436', '564']
['522', '966']
['732', '915']
['54', '806']
['675', '92']
['133', '981']
['114', '540']
['121', '412']
['455', '572']
['933', '993']
['389', '961']
['312', '774']
['21', '843']
['207', '577']
['176', '599']
['149', '751']
['620', '855']
['391', '976']
['717', '846']
['853', '885']
['250', '644']
['445', '637']
['415', '457']
['256', '908']
['735', '904']
['525', '620']
['111', '340']
['469', '524']
['27', '702']
['159', '486']
['642', '811']
['839', '909']
['1', '583']
['300', '618']
['540', '822']
['583', '655']
['338', '96']
['249', '576']
['72', '823']
['439', '576']
['15', '536']
['467', '895']
['165', '869']
['314', '327']
['699', '906']
['269', '544']
['364', '825']
['247', '726']
['61', '793']
['340', '500']
['19', '326']
['303', '812']
['759', '954']
['126', '882']
['195', '868']
['386', '652']
['379', '651']
['377', '570']
['568', '897']
['356', '912']
['412', '969']
['140', '444']
['323', '641']
['293', '541']
['478', '869']
['623', '960']
['17', '359']
['329', '800']
['20', '599']
['646', '728']
['217', '384']
['371', '705']
['501', '927']
['215', '520']
['903', '970']
['578', '931']
['3', '757']
['611', '70']
['334', '533']
['735', '838']
['101', '82']
['571', '679']
['717', '748']
['198', '425']
['545', '894']
['106', '677']
['316', '416']
['324', '932']
['828', '88']
['628', '792']
['274', '629']
['546', '890']
['738', '823']
['40', '675']
['615', '770']
['43', '888']
['896', '955']
['405', '492']
['464', '915']
['329', '362']
['339', '960']
['411', '625']
['247', '421']
['362', '464']
['612', '864']
['151', '966']
['388', '489']
['297', '572']
['809', '901']
['152', '564']
['50', '829']
['560', '67']
['120', '50']
['709', '767']
['368', '868']
['455', '566']
['290', '711']
['271', '565']
