200
5
['878', '67']
['289', '687']
['232', '263']
['160', '210']
['422', '884']
['585', '135']
['795', '45']
['715', '414']
['639', '536']
['848', '331']
['497', '741']
['820', '895']
['780', '546']
['808', '908']
['545', '317']
['961', '419']
['595', '782']
['590', '608']
['392', '178']
['244', '687']
['554', '234']
['755', '790']
['607', '447']
['157', '264']
['46', '307']
['188', '321']
['698', '246']
['260', '774']
['86', '751']
['856', '702']
['182', '44']
['157', '306']
['876', '123']
['248', '58']
['823', '11']
['861', '839']
['464', '505']
['659', '624']
['647', '91']
['440', '825']
['767', '5']
['81', '665']
['655', '626']
['889', '436']
['485', '677']
['906', '735']
['605', '190']
['884', '303']
['53', '456']
['191', '453']
['245', '387']
['493', '696']
['626', '496']
['88', '282']
['161', '123']
['258', '139']
['351', '149']
['323', '409']
['617', '865']
['300', '698']
['10', '385']
['555', '947']
['893', '550']
['642', '961']
['82', '537']
['822', '917']
['322', '868']
['889', '8']
['437', '492']
['527', '132']
['375', '254']
['852', '921']
['926', '719']
['653', '743']
['372', '196']
['552', '270']
['274', '70']
['952', '149']
['810', '111']
['126', '342']
['247', '554']
['357', '440']
['312', '603']
['584', '478']
['194', '918']
['330', '523']
['730', '720']
['741', '469']
['149', '778']
['627', '135']
['286', '390']
['302', '820']
['145', '567']
['299', '953']
['585', '418']
['24', '788']
['591', '481']
['80', '609']
['408', '505']
['806', '399']
['783', '823']
['286', '57']
['692', '306']
['239', '950']
['18', '380']
['750', '945']
['184', '428']
['999', '131']
['427', '78']
['245', '629']
['98', '199']
['53', '732']
['172', '261']
['724', '676']
['254', '773']
['480', '208']
['933', '333']
['873', '113']
['490', '317']
['376', '517']
['345', '414']
['441', '546']
['216', '593']
['334', '503']
['807', '840']
['158', '824']
['666', '487']
['369', '892']
['509', '270']
['491', '651']
['109', '708']
['623', '783']
['206', '328']
['285', '157']
['664', '744']
['762', '759']
['328', '101']
['532', '520']
['222', '830']
['3', '337']
['615', '737']
['223', '945']
['982', '127']
['438', '247']
['79', '694']
['924', '107']
['916', '513']
['504', '131']
['524', '813']
['294', '755']
['148', '11']
['298', '453']
['832', '622']
['374', '863']
['900', '283']
['48', '780']
['891', '955']
['590', '389']
['300', '123']
['959', '623']
['583', '504']
['718', '295']
['98', '258']
['663', '689']
['254', '604']
['386', '419']
['899', '396']
['308', '685']
['674', '536']
['643', '145']
['471', '433']
['167', '879']
['765', '63']
['258', '721']
['574', '554']
['616', '323']
['362', '661']
['470', '23']
['626', '722']
['835', '35']
['877', '68']
['953', '628']
['471', '986']
['487', '794']
['133', '862']
['385', '130']
['942', '597']
['542', '304']
['809', '964']
['21', '115']
['552', '727']
['273', '277']
['449', '506']
['516', '536']
['547', '385']
['867', '420']
['130', '984']
['579', '992']
['14', '796']
['362', '143']
['503', '702']
['104', '309']
['946', '94']
['814', '768']
['805', '100']
['696', '985']
['497', '651']
['39', '156']
['860', '22']
['864', '276']
['800', '895']
['188', '306']
['549', '299']
['237', '546']
['796', '862']
['704', '729']
['263', '964']
['625', '702']
['535', '595']
['548', '242']
['354', '748']
['647', '609']
['252', '272']
['225', '111']
['615', '462']
['772', '599']
['847', '425']
['423', '643']
['690', '111']
['935', '254']
['564', '219']
['684', '76']
['226', '280']
['224', '473']
['730', '175']
['597', '845']
['942', '107']
['507', '156']
['19', '522']
['547', '992']
['164', '101']
['387', '559']
['982', '298']
['492', '636']
['198', '776']
['28', '469']
['311', '558']
['852', '13']
['900', '410']
['224', '145']
['654', '753']
['64', '197']
['644', '298']
['735', '284']
['715', '278']
['22', '830']
['821', '812']
['712', '368']
['456', '522']
['676', '578']
['146', '845']
['884', '263']
['601', '246']
['6', '965']
['836', '131']
['774', '465']
['179', '276']
['536', '246']
['411', '141']
['789', '528']
['632', '905']
['546', '470']
['598', '733']
['999', '776']
['53', '202']
['673', '231']
['936', '837']
['85', '282']
['746', '93']
['84', '603']
['71', '829']
['697', '275']
['903', '136']
['266', '269']
['15', '153']
['438', '436']
['812', '404']
['286', '981']
['591', '210']
['113', '181']
['377', '647']
['434', '393']
['527', '142']
['49', '190']
['919', '62']
['534', '65']
['193', '574']
['24', '83']
['44', '206']
['151', '259']
['575', '538']
['320', '689']
['394', '173']
['585', '871']
['118', '182']
['874', '661']
['255', '910']
['544', '369']
['973', '675']
['213', '880']
['439', '472']
['673', '602']
['203', '834']
['704', '838']
['332', '624']
['352', '538']
['467', '854']
['896', '733']
['301', '8']
['415', '459']
['107', '603']
['942', '414']
['32', '904']
['194', '207']
['772', '756']
['603', '682']
['902', '44']
['843', '754']
['207', '257']
['406', '234']
['981', '262']
['17', '549']
['111', '701']
['590', '838']
['83', '729']
['601', '828']
['441', '991']
['117', '367']
['962', '436']
['96', '44']
['118', '32']
['444', '595']
['370', '777']
['904', '978']
['902', '137']
['510', '593']
['912', '152']
['607', '166']
['179', '853']
['628', '166']
['248', '923']
['721', '998']
['506', '745']
['914', '256']
['937', '186']
['389', '797']
['606', '813']
['323', '728']
['908', '932']
['424', '330']
['651', '390']
['343', '629']
['429', '694']
['827', '652']
['144', '935']
['437', '779']
['801', '650']
['489', '67']
['543', '595']
['354', '578']
['539', '516']
['396', '679']
['405', '922']
['171', '951']
['340', '770']
['146', '691']
['676', '855']
['726', '755']
['808', '28']
['937', '814']
['127', '133']
['368', '619']
['318', '140']
['70', '531']
['674', '659']
['917', '905']
['244', '83']
['503', '689']
['190', '569']
['798', '471']
['628', '453']
['831', '606']
['317', '348']
['800', '202']
['553', '326']
['505', '756']
['800', '557']
['426', '397']
['860', '187']
['916', '893']
['45', '879']
['948', '660']
['452', '116']
['212', '511']
['483', '668']
['126', '327']
['298', '413']
['247', '660']
['87', '154']
['180', '590']
['580', '331']
['514', '13']
['703', '858']
['373', '893']
['756', '689']
['424', '602']
['714', '726']
['248', '329']
['790', '375']
['572', '145']
['302', '310']
['530', '562']
['87', '627']
['268', '389']
['806', '696']
['116', '979']
['494', '5']
['493', '665']
['201', '329']
['557', '290']
['869', '250']
['374', '249']
['28', '533']
['476', '724']
['798', '120']
['714', '256']
['488', '624']
['798', '240']
['648', '321']
['201', '286']
['969', '858']
['830', '17']
['339', '214']
['305', '540']
['293', '467']
['309', '607']
['109', '185']
['653', '279']
['4', '735']
['532', '169']
['965', '826']
['3', '163']
['970', '741']
['479', '363']
['690', '320']
['460', '513']
['936', '91']
['254', '511']
['374', '749']
['653', '282']
['327', '330']
['794', '140']
['288', '819']
['306', '517']
['285', '686']
['721', '607']
['526', '657']
['123', '478']
['381', '478']
['876', '412']
['901', '646']
['406', '509']
['78', '198']
['773', '763']
['714', '770']
['272', '153']
['622', '244']
['397', '769']
['316', '245']
['740', '260']
['899', '658']
['782', '632']
['973', '379']
['789', '74']
['288', '553']
['431', '641']
['165', '74']
['667', '104']
['194', '669']
['813', '920']
['368', '979']
['112', '688']
['194', '812']
['467', '306']
['85', '920']
['148', '797']
['850', '775']
['703', '732']
['446', '304']
['692', '120']
['175', '774']
['663', '484']
['887', '610']
['777', '795']
['738', '21']
['193', '490']
['23', '342']
['395', '469']
['114', '890']
['14', '527']
['517', '288']
['478', '432']
['167', '349']
['318', '787']
['134', '992']
['430', '522']
['538', '5']
['776', '631']
['724', '345']
['539', '167']
['604', '633']
['828', '288']
['511', '358']
['998', '275']
['730', '384']
['609', '706']
['819', '901']
['569', '590']
['532', '245']
['704', '855']
['275', '392']
['677', '565']
['304', '47']
['812', '426']
['46', '665']
['517', '638']
['299', '421']
['693', '200']
['972', '160']
['154', '796']
['463', '928']
['167', '657']
['201', '765']
['668', '346']
['644', '8']
['482', '979']
['154', '865']
['692', '96']
['210', '684']
['785', '90']
['321', '52']
['208', '133']
['288', '436']
['132', '134']
['703', '709']
['707', '733']
['226', '70']
['364', '305']
['327', '836']
['98', '964']
['578', '15']
['166', '328']
['376', '7']
['913', '890']
['904', '550']
['77', '37']
['173', '945']
['179', '419']
['252', '193']
['720', '826']
['391', '783']
['589', '155']
['689', '510']
['99', '159']
['609', '336']
['676', '963']
['240', '816']
['919', '271']
['714', '493']
['378', '631']
['154', '596']
['474', '300']
['883', '429']
['994', '472']
['531', '636']
['465', '238']
['719', '556']
['183', '974']
['907', '116']
['525', '818']
['91', '55']
['951', '55']
['598', '233']
['228', '785']
['788', '531']
['708', '572']
['974', '758']
['352', '254']
['74', '344']
['95', '392']
['702', '75']
['533', '520']
['69', '583']
['17', '715']
['910', '705']
['973', '122']
['148', '379']
['446', '952']
['771', '485']
['388', '964']
['730', '66']
['835', '637']
['13', '864']
['760', '319']
['62', '763']
['974', '317']
['364', '44']
['45', '945']
['132', '925']
['669', '513']
['827', '631']
['417', '134']
['919', '751']
['35', '446']
['561', '542']
['159', '537']
['35', '852']
['608', '671']
['280', '754']
['895', '79']
['434', '363']
['854', '865']
['29', '317']
['579', '877']
['862', '988']
['226', '508']
['918', '485']
['452', '370']
['164', '656']
['518', '117']
['967', '533']
['742', '957']
['52', '145']
['492', '163']
['96', '374']
['211', '662']
['692', '348']
['593', '213']
['321', '44']
['402', '750']
['659', '610']
['412', '87']
['986', '132']
['998', '272']
['938', '595']
['93', '560']
['481', '89']
['965', '760']
['780', '365']
['841', '890']
['205', '295']
['180', '526']
['189', '741']
['57', '637']
['279', '713']
['636', '840']
['182', '923']
['92', '821']
['829', '458']
['242', '895']
['737', '109']
['99', '255']
['740', '905']
['454', '659']
['927', '827']
['837', '530']
['700', '142']
['952', '849']
['466', '79']
['58', '371']
['142', '357']
['797', '895']
['228', '643']
['283', '35']
['369', '565']
['657', '350']
['989', '941']
['155', '462']
['116', '195']
['155', '311']
['283', '64']
['937', '763']
['260', '619']
['437', '97']
['59', '884']
['257', '884']
['898', '476']
['36', '620']
