['59', '69', '136', '188', '134', '17', '18']
['282', '32', '67', '95', '97', '94', '258']
['209', '341', '81', '96', '82', '99', '266']
['218', '250', '24', '27', '57', '20', '265']
['7', '274', '301', '15', '155', '156', '295']
['112', '178', '181', '313', '261', '262', '263']
['110', '143', '289', '348', '45', '344', '260']
['113', '148', '247', '140', '22', '28', '91']
['10', '65', '288', '173', '222', '233', '223']
['40', '109', '147', '33', '308', '237', '303']
['283', '139', '224', '278', '326', '220', '235']
['8', '77', '319', '47', '102', '49', '168']
['129', '210', '70', '62', '256', '257', '58']
['108', '287', '101', '221', '315', '309', '225']
['142', '172', '207', '255', '254', '269', '19']
['66', '211', '277', '186', '205', '345', '184']
['42', '75', '281', '324', '337', '342', '203']
['208', '310', '128', '133', '121', '122', '123']
['322', '232', '323', '151', '150', '347', '90']
['1', '241', '98', '104', '200', '117', '119']
['4', '177', '249', '164', '163', '154', '335']
['34', '242', '244', '219', '239', '161', '124']
['325', '270', '236', '234', '238', '52', '54']
['43', '111', '246', '267', '87', '85', '86']
['183', '286', '60', '61', '51', '55', '190']
['215', '14', '118', '115', '9', '88', '89']
['72', '165', '213', '284', '316', '105', '167']
['41', '74', '144', '259', '245', '280', '264']
['73', '141', '320', '63', '137', '174', '312']
['328', '23', '273', '271', '11', '13', '268']
['78', '68', '311', '350', '79', '83', '226']
['2', '39', '251', '84', '166', '80', '162']
['135', '100', '240', '334', '53', '64', '230']
['107', '321', '338', '339', '329', '343', '327']
['175', '130', '169', '227', '228', '229', '231']
['176', '30', '291', '305', '302', '29', '297']
['38', '349', '25', '26', '333', '336', '21']
['285', '44', '46', '48', '56', '331', '332']
['192', '195', '196', '204', '330', '50', '120']
['6', '37', '212', '114', '276', '272', '304']
['216', '106', '92', '296', '298', '299', '300']
['145', '198', '307', '306', '197', '199', '16']
['132', '131', '189', '127', '157', '158', '159']
['76', '146', '248', '138', '171', '243', '340']
['279', '160', '191', '193', '194', '125', '126']
['179', '252', '318', '170', '206', '31', '314']
['71', '182', '217', '317', '35', '187', '201']
['153', '152', '290', '293', '116', '292', '294']
['3', '93', '103', '275', '346', '149', '202']
['5', '36', '180', '214', '253', '12', '185']
