['19', '39', '59', '79', '139', '99', '119', '159', '199', '259', '142', '179', '144', '222', '246', '162', '182', '202', '204', '209']
['1', '61', '21', '41', '81', '101', '121', '141', '161', '181', '241', '243', '283', '248', '249', '261', '281', '286', '288', '201']
['3', '7', '23', '27', '43', '47', '83', '107', '87', '103', '63', '67', '123', '167', '183', '127', '143', '163', '187', '124']
['4', '5', '18', '25', '38', '24', '44', '64', '45', '65', '84', '58', '98', '85', '105', '118', '198', '158', '78', '138']
['340', '349', '369', '380', '381', '383', '384', '385', '386', '388', '392', '394', '382', '389', '391', '395', '396', '397', '398', '399']
['15', '35', '55', '95', '75', '155', '215', '115', '195', '255', '135', '235', '272', '175', '228', '242', '245', '227', '233', '238']
['302', '362', '365', '304', '318', '319', '363', '366', '368', '370', '371', '372', '374', '376', '303', '312', '360', '361', '364', '367']
['9', '29', '49', '69', '89', '109', '149', '145', '129', '150', '189', '190', '191', '193', '210', '184', '196', '207', '213', '229']
['6', '13', '33', '46', '26', '93', '113', '53', '66', '73', '106', '126', '86', '133', '153', '166', '186', '226', '146', '147']
['268', '271', '308', '309', '311', '313', '314', '315', '351', '264', '266', '267', '275', '317', '344', '346', '353', '355', '373', '273']
['2', '10', '22', '42', '51', '90', '91', '102', '30', '50', '71', '111', '70', '110', '122', '171', '62', '82', '151', '130']
['295']
['300', '316', '324', '240', '260', '262', '265', '280', '244', '247', '257', '258', '277', '279', '284', '301', '305', '306', '307', '338']
['341', '358', '359', '345', '342', '347', '350', '354', '356', '325', '337', '343', '348', '352', '357', '377', '378', '375', '379']
['14', '34', '54', '94', '74', '114', '154', '194', '174', '134', '214', '234', '287', '218', '285', '294', '334', '335', '254', '274']
['0', '20', '100', '40', '60', '80', '160', '140', '200', '120', '180', '164', '168', '220', '206', '224', '230', '236', '250', '208']
['12', '32', '52', '72', '92', '132', '172', '112', '152', '178', '192', '212', '278', '217', '232', '298', '136', '219', '252', '263']
['8', '16', '36', '28', '31', '68', '48', '56', '88', '96', '148', '176', '76', '108', '116', '128', '131', '156', '211', '104']
['11', '251', '231', '291', '289', '169', '170', '173', '239', '270', '282', '296', '310', '332', '221', '253', '269', '276', '293', '256']
['17', '37', '77', '57', '117', '137', '97', '165', '205', '157', '197', '177', '185', '203', '216', '223', '225', '237', '125', '188']
['297', '290', '292', '323', '326', '331', '333', '336', '327', '328', '329', '339', '387', '299', '320', '321', '322', '330', '390', '393']
