['278', '265', '164', '185', '108', '109', '172', '87', '256', '368', '344', '450', '180', '441', '442', '262', '461', '462', '362', '361']
['199', '18', '159', '298', '378', '89', '135', '145', '131', '238', '313', '318', '452', '357', '466', '477', '86', '122', '240', '121']
['299', '409', '384', '447', '116', '149', '438', '465', '498', '103', '208', '348', '10', '335', '235', '402', '222', '82', '202', '201']
['336', '38', '464', '189', '351', '383', '499', '5', '107', '188', '411', '428', '457', '484', '127', '7', '6', '20', '0', '401']
['79', '63', '92', '417', '29', '226', '148', '166', '358', '397', '175', '287', '356', '427', '454', '473', '96', '115', '123', '345']
['26', '71', '237', '385', '183', '245', '270', '77', '254', '272', '307', '470', '475', '476', '480', '242', '221', '422', '62', '261']
['419', '286', '59', '138', '374', '113', '218', '231', '359', '94', '249', '275', '332', '453', '8', '17', '36', '144', '150', '225']
['198', '430', '72', '215', '404', '24', '429', '30', '88', '216', '227', '228', '347', '415', '425', '15', '171', '236', '386', '472']
['219', '284', '365', '373', '111', '311', '445', '471', '306', '330', '139', '349', '296', '282', '281', '302', '301', '81', '321', '61']
['478', '186', '247', '406', '431', '436', '304', '339', '487', '244', '352', '354', '229', '232', '196', '443', '390', '106', '200', '381']
['78', '263', '65', '75', '119', '137', '271', '292', '316', '14', '130', '243', '324', '434', '451', '16', '207', '264', '274', '315']
['239', '433', '50', '217', '455', '93', '153', '156', '426', '134', '288', '309', '370', '444', '160', '460', '440', '22', '241', '341']
['179', '410', '458', '35', '55', '248', '337', '46', '91', '117', '178', '310', '413', '491', '3', '147', '165', '291', '293', '405']
['67', '19', '325', '11', '66', '251', '276', '387', '467', '37', '403', '104', '314', '488', '80', '420', '142', '141', '2', '1']
['58', '118', '295', '52', '70', '152', '169', '195', '496', '25', '48', '355', '197', '474', '12', '84', '167', '230', '257', '469']
['328', '99', '69', '128', '85', '170', '191', '246', '255', '396', '268', '371', '394', '493', '400', '100', '260', '182', '342', '42']
['83', '13', '366', '489', '174', '424', '125', '184', '187', '350', '305', '327', '333', '343', '224', '494', '194', '360', '181', '340']
['398', '23', '54', '68', '98', '212', '369', '399', '56', '155', '329', '334', '423', '435', '463', '95', '289', '308', '323', '331']
['259', '486', '146', '283', '317', '151', '407', '437', '446', '28', '211', '303', '376', '495', '497', '31', '395', '320', '40', '481']
['43', '97', '163', '203', '375', '74', '279', '363', '388', '233', '485', '346', '380', '421', '161', '162', '41', '101', '322', '102']
['338', '45', '176', '206', '209', '234', '432', '204', '214', '253', '367', '51', '90', '364', '377', '57', '27', '105', '136', '32']
['418', '49', '408', '468', '44', '439', '47', '114', '132', '213', '173', '294', '456', '483', '177', '297', '372', '60', '300', '482']
['34', '112', '154', '210', '250', '193', '273', '392', '110', '126', '168', '205', '326', '479', '76', '223', '157', '120', '21', '220']
['4', '64', '266', '412', '319', '414', '39', '158', '190', '258', '379', '389', '391', '9', '143', '448', '449', '33', '124', '290']
['459', '277', '490', '129', '267', '269', '285', '53', '252', '416', '73', '192', '312', '393', '133', '353', '492', '140', '382', '280']
