['7', '20', '80', '134', '182', '243', '330', '384', '398', '1']
['32', '92', '140', '185', '217', '224', '272', '299', '300', '303']
['4', '9', '22', '44', '76', '118', '127', '234', '339', '364']
['93', '112', '167', '252', '349', '393', '91', '251', '361', '371']
['42', '73', '82', '109', '138', '165', '210', '230', '257', '306']
['129', '147', '163', '178', '229', '279', '352', '354', '383', '395']
['18', '27', '64', '153', '154', '169', '233', '247', '295', '297']
['84', '212', '222', '259', '302', '304', '308', '366', '369', '81']
['16', '25', '54', '55', '172', '193', '235', '288', '317', '334']
['19', '162', '179', '187', '273', '318', '345', '350', '365', '394']
['52', '60', '108', '119', '206', '209', '286', '324', '370', '380']
['29', '102', '164', '189', '203', '213', '226', '254', '312', '319']
['8', '39', '72', '90', '177', '220', '239', '262', '376', '382']
['34', '43', '56', '159', '166', '197', '208', '216', '256', '314']
['37', '63', '66', '99', '103', '110', '198', '270', '276', '290']
['33', '149', '236', '253', '264', '268', '347', '356', '387', '121']
['26', '137', '168', '184', '248', '335', '342', '359', '21', '351']
['128', '225', '232', '368', '375', '397', '391', '221', '231', '241']
['6', '50', '57', '58', '62', '94', '114', '51', '381']
['15', '17', '107', '123', '263', '333', '344', '357', '390', '396']
['105', '135', '152', '173', '227', '260', '285', '305', '388', '101']
['69', '194', '204', '269', '372', '377', '111', '321', '331', '341']
['2', '12', '24', '36', '70', '86', '139', '196', '242', '274']
['77', '87', '122', '175', '292', '343', '367', '385', '71', '171']
['120', '176', '199', '280', '313', '328', '358', '360', '378', '379']
['45', '59', '106', '124', '160', '195', '296', '320', '338', '389']
['65', '116', '205', '215', '218', '61', '211', '291', '301', '311']
['14', '23', '47', '67', '88', '130', '192', '200', '249', '336']
['30', '53', '115', '145', '228', '275', '282', '316', '332', '353']
['49', '89', '117', '133', '283', '289', '310', '325', '340', '374']
['35', '40', '144', '186', '202', '237', '246', '250', '278', '31']
['98', '155', '174', '223', '258', '265', '267', '298', '307', '322']
['5', '10', '75', '100', '143', '158', '190', '337', '399', '11']
['188', '245', '386', '131', '141', '151', '161', '181', '191', '201']
['13', '28', '38', '46', '68', '85', '240', '255', '323', '326']
['156', '207', '266', '327', '348', '362', '41', '261', '271', '281']
['95', '104', '146', '238', '244', '277', '309', '329', '346', '355']
['3', '78', '96', '97', '132', '150', '293', '363', '373', '392']
['74', '113', '126', '148', '170', '183', '214', '219', '294', '315']
['48', '79', '83', '125', '136', '142', '157', '180', '284', '287']
