['245', '289', '292', '350', '488', '177', '24', '28', '231', '238', '263', '396', '35', '393', '317', '441', '93', '477', '219', '375']
['386', '404', '374', '180', '330', '141', '156', '262', '234', '470', '474', '103', '129', '142', '147', '149', '154', '188', '199', '278']
['378', '52', '363', '458', '47', '42', '89', '346', '451', '45', '48', '53', '59', '80', '294', '424', '453', '145', '287', '313']
['174', '166', '176', '389', '165', '168', '259', '387', '485', '51', '181', '216', '321', '384', '493', '7', '18', '233', '253', '431']
['265', '297', '355', '367', '478', '483', '84', '206', '215', '239', '304', '465', '17', '30', '36', '220', '224', '227', '235', '237']
['303', '444', '456', '105', '452', '329', '201', '113', '213', '497', '58', '73', '301', '314', '332', '349', '352', '366', '377', '422']
['151', '406', '33', '171', '170', '22', '402', '410', '417', '34', '447', '109', '326', '327', '409', '415', '454', '455', '459', '119']
['252', '395', '475', '81', '298', '348', '472', '94', '251', '293', '360', '391', '398', '418', '460', '20', '37', '60', '88', '97']
['240', '85', '241', '246', '257', '258', '279', '323', '255', '433', '82', '218', '232', '244', '260', '50', '98', '208', '210', '264']
['114', '242', '243', '102', '247', '121', '122', '136', '150', '250', '318', '382', '69', '110', '118', '325', '385', '394', '416', '427']
['428', '193', '439', '440', '486', '12', '494', '68', '76', '135', '194', '273', '361', '78', '95', '173', '175', '207', '214', '221']
['368', '401', '414', '469', '336', '434', '6', '8', '372', '411', '413', '462', '19', '315', '420', '437', '442', '4', '11', '16']
['161', '25', '179', '192', '228', '356', '21', '41', '123', '288', '358', '27', '421', '466', '467', '29', '46', '49', '57', '74']
['311', '341', '403', '412', '479', '15', '31', '381', '426', '335', '351', '357', '464', '476', '1', '38', '40', '72', '306', '309']
['222', '302', '369', '489', '184', '267', '342', '347', '425', '13', '61', '66', '116', '195', '283', '300', '322', '345', '400', '446']
['134', '124', '280', '282', '75', '77', '281', '296', '430', '436', '495', '2', '14', '86', '127', '148', '157', '164', '186', '202']
['63', '487', '43', '125', '261', '274', '435', '461', '39', '100', '226', '353', '379', '429', '481', '172', '190', '270', '272', '320']
['203', '205', '254', '380', '211', '399', '133', '139', '183', '217', '397', '138', '432', '131', '143', '187', '209', '275', '316', '405']
['457', '178', '256', '407', '496', '450', '491', '340', '3', '64', '99', '490', '499', '44', '276', '299', '339', '365', '448', '471']
['383', '392', '354', '390', '96', '159', '140', '155', '291', '370', '423', '482', '126', '152', '160', '212', '284', '290', '308', '310']
['249', '443', '445', '189', '449', '373', '480', '144', '204', '388', '65', '91', '130', '343', '362', '492', '200', '266', '55', '71']
['225', '324', '108', '115', '473', '111', '333', '463', '70', '106', '107', '162', '163', '167', '328', '334', '337', '338', '359', '468']
['101', '408', '54', '67', '104', '117', '185', '305', '319', '438', '62', '79', '153', '248', '285', '307', '376', '419', '484', '0']
['196', '26', '223', '32', '182', '277', '191', '197', '230', '268', '331', '344', '5', '9', '132', '236', '23', '56', '137', '198']
['83', '92', '112', '269', '312', '364', '87', '229', '286', '371', '498', '146', '169', '271', '295', '10', '90', '120', '128', '158']
