['267', '32', '62', '205', '430', '19', '56', '75', '187', '255', '406', '429', '107', '424', '41', '146', '317', '109', '181', '483', '320', '120', '471']
['118', '171', '195', '252', '301', '360', '361', '362', '368', '369', '386', '399', '400', '419', '449', '455', '475', '3', '22', '52', '59', '60', '87']
['125', '276', '433', '70', '121', '150', '244', '250', '256', '290', '293', '411', '36', '43', '84', '136', '158', '169', '184', '194', '196', '254', '259']
['182', '200', '230', '268', '273', '287', '300', '303', '330', '334', '367', '395', '405', '413', '454', '8', '44', '64', '69', '82', '95', '98', '114']
['485', '352', '311', '15', '214', '242', '30', '128', '216', '249', '435', '105', '322', '66', '213', '294', '377', '96', '253', '265', '396', '427', '20']
['339', '363', '418', '480', '24', '29', '42', '51', '73', '86', '90', '91', '102', '122', '142', '174', '203', '275', '278', '285', '312', '331', '355']
['282', '432', '137', '161', '165', '166', '168', '173', '212', '219', '240', '261', '272', '302', '321', '365', '383', '401', '439', '447', '57', '78', '130']
['349', '390', '394', '402', '403', '415', '436', '457', '476', '13', '18', '23', '39', '68', '152', '157', '170', '190', '207', '246', '291', '328', '351']
['1', '144', '160', '204', '217', '228', '239', '245', '262', '289', '358', '376', '7', '34', '71', '113', '206', '210', '241', '283', '373', '462', '27']
['350', '387', '407', '420', '423', '426', '458', '467', '63', '104', '110', '123', '127', '134', '138', '154', '178', '220', '232', '237', '238', '318', '333']
['129', '309', '346', '353', '356', '375', '40', '263', '297', '404', '428', '451', '126', '156', '172', '221', '335', '83', '176', '235', '338', '425', '469']
['438', '364', '372', '398', '431', '444', '448', '465', '474', '478', '2', '12', '21', '26', '49', '72', '76', '80', '112', '124', '132', '147', '179']
['38', '163', '391', '409', '470', '10', '92', '141', '199', '225', '226', '247', '274', '344', '366', '379', '393', '460', '464', '468', '477', '484', '6']
['325', '345', '371', '380', '389', '443', '459', '466', '31', '37', '101', '103', '162', '185', '208', '248', '260', '298', '342', '417', '5', '11', '25']
['155', '47', '48', '79', '99', '116', '119', '167', '223', '271', '279', '307', '315', '327', '354', '357', '416', '421', '442', '452', '28', '133', '189']
['117', '151', '177', '180', '201', '211', '234', '288', '299', '324', '392', '397', '410', '445', '14', '135', '218', '222', '224', '227', '264', '266', '270']
['332', '46', '257', '286', '292', '296', '305', '323', '326', '408', '412', '441', '446', '453', '479', '9', '35', '67', '153', '269', '280', '281', '319']
['209', '85', '100', '143', '149', '175', '229', '337', '414', '450', '473', '33', '50', '53', '74', '97', '111', '131', '140', '251', '341', '359', '384']
['434', '148', '202', '243', '277', '313', '336', '382', '440', '456', '481', '16', '81', '88', '93', '106', '115', '193', '231', '304', '306', '329', '348']
['139', '284', '310', '314', '340', '347', '374', '388', '461', '463', '482', '4', '17', '45', '58', '89', '108', '164', '191', '198', '316', '378', '385']
['55', '61']
['308', '65', '145', '159', '188', '215', '236', '295', '422', '472', '54', '77', '94', '183', '186', '192', '197', '233', '258', '343', '370', '381', '437']
