['16', '36', '109', '278', '8', '41', '59', '80', '87', '97', '294', '338', '454', '461', '480', '207', '364', '414', '448', '52']
['44', '64', '212', '309', '310', '10', '39', '131', '220', '223', '249', '267', '270', '158', '170', '219', '274', '331', '332', '447']
['14', '214', '478', '118', '141', '28', '349', '464', '469', '67', '359', '366', '443', '470', '145', '423', '1', '180', '227', '472']
['79', '98', '204', '221', '352', '15', '176', '225', '68', '191', '203', '224', '379', '438', '54', '92', '100', '246', '255', '299']
['139', '312', '415', '431', '440', '492', '108', '226', '245', '296', '479', '56', '61', '75', '135', '148', '241', '289', '455', '69']
['291', '297', '354', '409', '444', '18', '22', '24', '58', '123', '192', '194', '256', '420', '436', '484', '32', '83', '146', '181']
['19', '73', '185', '265', '405', '490', '106', '160', '258', '276', '343', '344', '361', '393', '394', '481', '25', '140', '150', '210']
['84', '125', '188', '218', '103', '250', '314', '335', '355', '421', '157', '167', '242', '273', '275', '301', '303', '306', '315', '371']
['13', '23', '117', '197', '216', '253', '264', '362', '413', '82', '93', '342', '377', '416', '451', '498', '48', '152', '234', '407']
['389', '434', '34', '65', '124', '235', '259', '458', '101', '151', '211', '313', '387', '411', '467', '70', '240', '252', '263', '279']
['182', '341', '368', '104', '295', '397', '404', '452', '66', '254', '326', '128', '383', '408', '425', '473', '86', '260', '324', '390']
['43', '121', '133', '144', '164', '193', '298', '429', '445', '460', '17', '29', '40', '114', '119', '154', '189', '199', '208', '280']
['4', '105', '136', '153', '159', '169', '450', '489', '11', '89', '94', '424', '453', '486', '228', '7', '281', '380', '399', '406']
['120', '277', '477', '483', '488', '126', '155', '196', '198', '230', '285', '323', '334', '457', '57', '72', '107', '147', '179', '293']
['205', '243', '382', '386', '38', '201', '465', '112', '156', '456', '143', '325', '348', '360', '367', '0', '102', '162', '248', '370']
['168', '187', '384', '111', '271', '287', '292', '319', '401', '475', '213', '419', '9', '163', '175', '206', '336', '373', '432', '435']
['27', '130', '137', '305', '363', '388', '396', '62', '91', '328', '441', '446', '468', '74', '183', '261', '318', '329', '365', '381']
['88', '161', '173', '282', '346', '471', '63', '122', '378', '430', '433', '482', '485', '77', '177', '239', '330', '395', '398', '31']
['171', '172', '283', '356', '376', '439', '459', '474', '35', '55', '81', '129', '237', '499', '232', '426', '49', '284', '337', '462']
['90', '186', '269', '286', '316', '358', '392', '5', '71', '76', '116', '217', '229', '236', '244', '340', '357', '428', '442', '96']
['78', '209', '321', '375', '495', '497', '12', '142', '427', '85', '195', '300', '353', '437', '449', '496', '110', '307', '350', '372']
['50', '132', '190', '333', '53', '166', '272', '339', '369', '417', '466', '134', '268', '304', '317', '320', '347', '410', '476', '3']
['138', '202', '251', '302', '311', '412', '95', '266', '385', '402', '374', '403', '288', '463', '491', '493', '494', '231', '247', '391']
['37', '45', '46', '47', '257', '33', '51', '233', '351', '2', '6', '178', '20', '26', '262', '322', '422', '200', '238', '418']
['115', '149', '174', '487', '30', '60', '99', '184', '222', '327', '21', '42', '127', '215', '290', '345', '400', '113', '165', '308']
