['82', '113', '187', '210']
['97', '108', '237', '66']
['142', '145', '200', '212']
['38', '93', '109', '129']
['189', '70', '79', '188']
['207', '67', '134', '165']
['4', '18', '57', '63']
['215', '8', '29', '36']
['192', '196', '208', '221']
['117', '162', '28', '85']
['132', '154', '198', '232']
['194', '227', '175', '240']
['14', '80', '86', '105']
['182', '186', '88', '126']
['52', '177', '180', '205']
['133', '9', '12', '25']
['99', '119', '179', '190']
['141', '161', '164', '168']
['156', '209', '41', '46']
['226', '242', '49', '62']
['236', '53', '106', '92']
['235', '68', '72', '73']
['107', '148', '153', '191']
['47', '64', '94', '130']
['170', '171', '217', '246']
['216', '0', '39', '55']
['124', '131', '204', '234']
['238', '61']
['116', '144', '152', '159']
['56', '128', '149', '150']
['13', '50', '95', '84']
['20', '139', '160', '169']
['136', '203', '110', '118']
['54', '103', '199', '6']
['7', '34', '102', '123']
['243', '31', '60', '87']
['37', '140', '146', '202']
['222', '173', '225', '77']
['21', '155', '167', '206']
['174', '137', '197', '3']
['22', '104', '81', '185']
['1', '249', '114', '163']
['193', '220', '19', '74']
['78', '184', '195', '223']
['239', '245', '5', '30']
['115', '183', '244', '10']
['218', '233', '247', '248']
['201', '11', '23', '121']
['16', '27', '158', '241']
['213', '214', '48', '65']
['120', '75', '125', '143']
['100', '127', '231', '35']
['59', '89', '43', '83']
['58', '101', '17', '90']
['24', '26', '96', '111']
['229', '135', '157', '176']
['33', '181', '211', '122']
['228', '32', '44', '91']
['172', '138', '151', '178']
['166', '219', '40', '45']
['230', '2', '42', '51']
['71', '76', '112', '224']
['15', '69', '98', '147']
