['28', '110', '122', '131', '149', '160', '163', '278', '295', '313', '344', '359', '375', '394', '410', '426', '430', '434', '438', '457', '465', '471', '472', '494', '0']
['33', '36', '38', '45', '102', '127', '136', '152', '181', '211', '216', '230', '248', '262', '275', '298', '306', '353', '361', '397', '408', '411', '421', '440', '443']
['2', '12', '14', '21', '29', '94', '151', '153', '172', '184', '201', '219', '271', '347', '354', '365', '388', '412', '467', '481', '486', '491', '492', '495', '497']
['6', '17', '22', '48', '55', '68', '88', '99', '103', '143', '156', '162', '174', '187', '190', '194', '196', '210', '229', '238', '249', '250', '251', '272', '279']
['345', '398', '400', '423', '464', '469', '478', '487', '489', '490', '50', '69', '72', '95', '134', '227', '255', '274', '276', '296', '317', '319', '336', '346', '368']
['52', '54', '56', '62', '117', '119', '126', '147', '148', '157', '173', '179', '237', '294', '304', '307', '323', '341', '386', '395', '402', '403', '405', '415', '416']
['8', '13', '41', '47', '61', '73', '98', '168', '191', '193', '199', '222', '228', '235', '260', '270', '286', '303', '316', '329', '339', '340', '356', '357', '371']
['86', '225', '233', '240', '293', '300', '377', '391', '428', '459', '462', '463', '473', '475', '476', '46', '57', '118', '146', '192', '200', '252', '277', '287', '358']
['212', '246', '247', '258', '280', '284', '290', '310', '322', '325', '327', '332', '335', '338', '349', '351', '360', '363', '364', '372', '385', '393', '407', '414', '417']
['51', '97', '107', '125', '144', '165', '169', '177', '189', '197', '267', '281', '288', '299', '330', '334', '337', '350', '355', '362', '380', '384', '396', '399', '404']
['425', '114', '301', '324', '333', '348', '369', '370', '374', '383', '401', '406', '413', '431', '435', '436', '437', '439', '449', '458', '480', '496', '498', '474']
['314', '387', '419', '420', '432', '442', '445', '447', '448', '452', '453', '454', '456', '460', '468', '470', '477', '482', '483', '488', '493', '16', '18', '32', '37']
['5', '20', '105', '109', '129', '137', '155', '195', '213', '215', '217', '223', '321', '352', '366', '381', '390', '418', '422', '424', '427', '429', '450', '461', '484']
['10', '60', '70', '79', '138', '140', '161', '167', '170', '180', '185', '221', '236', '239', '242', '243', '259', '261', '263', '264', '265', '266', '268', '297', '320']
['3', '4', '23', '34', '39', '42', '43', '59', '63', '66', '67', '75', '78', '82', '83', '91', '93', '96', '108', '120', '128', '135', '142', '158', '182']
['77', '90', '130', '133', '188', '202', '224', '234', '245', '291', '302', '311', '343', '378', '389', '392', '409', '433', '446', '485', '15', '53', '64', '71', '74']
['76', '80', '84', '92', '106', '116', '183', '204', '209', '269', '282', '289', '292', '305', '308', '312', '315', '318', '328', '331', '342', '367', '373', '376', '379']
['1', '9', '24', '31', '40', '65', '81', '85', '89', '104', '113', '115', '121', '123', '139', '145', '159', '164', '175', '186', '205', '206', '207', '214', '218']
['382', '441', '444', '451', '455', '466', '479', '7', '27', '35', '44', '112', '132', '171', '176', '198', '203', '226', '231', '232', '253', '256', '257', '273', '309']
['11', '19', '25', '26', '30', '49', '58', '87', '100', '101', '111', '124', '141', '150', '154', '166', '178', '208', '220', '241', '244', '254', '283', '285', '326']
