['145', '386', '165', '59', '388', '354', '102', '33', '203', '205', '75', '289', '282', '309', '49', '46']
['304', '14', '167', '68', '341', '296', '92', '10', '74', '73', '314', '70', '224', '271', '330', '237']
['363', '360', '290', '345', '331', '397', '310', '146', '204', '124', '311', '58', '13', '328', '67', '54']
['185', '213', '266', '308', '81', '208', '333', '243', '350', '217', '219', '260', '140', '148', '400', '399']
['216', '87', '122', '319', '152', '258', '115', '35', '86', '244', '18', '364', '242', '251', '262', '21']
['144', '134', '104', '139', '138', '123', '369', '359', '272', '16', '78', '5', '348', '25', '371', '248']
['50', '241', '329', '61', '166', '9', '287', '346', '91', '141', '215', '247', '160', '337', '47', '195']
['52', '43', '36', '231', '249', '180', '65', '351', '116', '110', '112', '292', '101', '99', '233', '131']
['171', '76', '221', '40', '379', '174', '11', '261', '3', '63', '41', '107', '332', '98', '323', '8']
['17', '322', '263', '55', '77', '2', '313', '316', '367', '389', '288', '113', '301', '229', '156', '42']
['393', '96', '324', '362', '64', '254', '214', '226', '297', '336', '236', '29', '246', '175', '327', '325']
['97', '352', '157', '373', '190', '147', '83', '72', '382', '161', '210', '44', '349', '294', '194', '335']
['186', '151', '38', '27', '177', '176', '62', '380', '256', '355', '269', '6', '375', '368', '283', '286']
['232', '20', '394', '181', '15', '4', '117', '340', '136', '135', '85', '178', '163', '56', '111', '391']
['187', '120', '169', '342', '372', '307', '106', '51', '339', '84', '250', '264', '198', '376', '80', '100']
['199', '170', '184', '326', '66', '255', '119', '303', '153', '197', '274', '105', '93', '238', '390', '179']
['188', '358', '277', '312', '275', '183', '378', '149', '374', '212', '279', '32', '267', '295', '235', '395']
['293', '384', '130', '26', '22', '28', '189', '12', '121', '315', '381', '164', '284', '305', '223', '37']
['133', '182', '201', '125', '268', '159', '230', '79', '162', '57', '31', '94', '396', '245', '240', '300']
['234', '193', '361', '109', '24', '370', '19', '334', '257', '155', '343', '276', '30', '318', '168', '218']
['89', '137', '173', '39', '7', '320', '202', '385', '357', '347', '200', '71', '365', '69', '118', '220']
['321', '356', '154', '299', '196', '270', '132', '172', '126', '387', '129', '1', '252', '211', '228', '34']
['259', '353', '285', '306', '48', '298', '317', '366', '281', '114', '253', '344', '191', '192', '273', '90']
['95', '142', '143', '206', '280', '53', '225', '158', '45', '377', '88', '398', '207', '383', '227', '222']
['150', '338', '302', '82', '209', '127', '278', '23', '265', '108', '60', '103', '239', '392', '128', '291']
