['277', '480', '246', '209', '325']
['223', '326', '368', '499', '7']
['83', '435', '237', '249', '2']
['453', '74', '88', '265', '290']
['47', '58', '141', '182', '229']
['179', '51', '77', '127', '106']
['352', '283', '358', '166', '26']
['111', '126', '407', '438', '492']
['308', '394', '171', '309', '313']
['443', '27', '40', '55', '70']
['52', '307', '151', '162', '192']
['446', '36', '206', '351', '418']
['147', '278', '101', '276', '386']
['177', '343', '43', '92', '109']
['338', '22', '263', '449', '457']
['260', '292', '416', '12', '45']
['59', '288', '48', '251', '196']
['320', '417', '462', '498', '134']
['334', '82', '411', '105', '115']
['359', '103', '132', '144', '214']
['356', '377', '387', '451', '102']
['139', '489', '79', '272', '369']
['474', '30', '281', '330', '412']
['363', '14', '86', '165', '289']
['164', '233', '379', '391', '399']
['44', '90', '191', '243', '262']
['491', '63', '312', '487', '65']
['170', '221', '274', '450', '6']
['211', '226', '240', '270', '404']
['282', '17', '85', '108', '142']
['331', '342', '129', '184', '380']
['385', '217', '180', '3', '146']
['448', '57', '60', '228', '271']
['37', '197', '253', '458', '495']
['390', '87', '202', '257', '267']
['23', '456', '114', '158', '268']
['255', '84', '130', '468', '493']
['145', '187', '275', '323', '360']
['349', '122', '116', '348', '402']
['232', '160', '215', '357', '121']
['89', '245', '299', '341', '384']
['333', '415', '259', '467', '67']
['481', '238', '131', '159', '266']
['471', '29', '279', '285', '414']
['15', '295', '403', '68', '75']
['254', '10']
['41', '372', '93', '118', '441']
['476', '125', '234', '311', '322']
['208', '50', '16', '49', '133']
['339', '475', '185', '284', '366']
['291', '39', '94', '143', '264']
['176', '218', '464', '328', '199']
['138', '231', '33', '110', '157']
['370', '250', '314', '317', '409']
['11', '25', '28', '54', '66']
['9', '137', '188', '220', '273']
['302', '216', '398', '1', '242']
['430', '439', '0', '183', '195']
['5', '340', '337', '431', '395']
['371', '437', '473', '488', '154']
['293', '327', '434', '442', '19']
['152', '100', '112', '465', '496']
['346', '419', '440', '4', '32']
['150', '69', '324', '425', '120']
['256', '335', '427', '486', '24']
['461', '186', '198', '212', '222']
['61', '452', '485', '203', '298']
['239', '286', '247', '20', '72']
['98', '364', '355', '321', '354']
['383', '104', '269', '420', '436']
['400', '433', '445', '8', '91']
['207', '280', '306', '373', '374']
['406', '423', '460', '494', '53']
['350', '376', '310', '332', '389']
['95', '410', '428']
['432', '155', '252', '483', '484']
['190', '318', '479', '296', '304']
['408', '153', '167', '169', '230']
['123', '361', '466', '490', '46']
['18', '261', '367', '470', '482']
['463', '329', '178', '344', '375']
['294', '444', '148', '315', '319']
['472', '56', '73', '81', '201']
['497', '78', '235', '316', '392']
['194', '301', '107', '161', '353']
['300', '168', '236', '258', '378']
['64', '71', '96', '117', '227']
['244', '397', '429', '35', '388']
['205', '421', '119', '135', '163']
['149', '219', '156', '424', '454']
['426', '210', '213', '382', '477']
['241', '173', '31', '396', '248']
['447', '136', '336', '381', '405']
['21', '455', '13', '42', '97']
['347', '113', '128', '303', '401']
['124', '174', '175', '181', '193']
['189', '204', '225', '287', '297']
['393', '422', '34', '140', '172']
['200', '365', '38', '345', '459']
['362', '413', '99', '305', '478']
['469', '62', '76', '80', '224']
